,Oración 1,Oración 2,Similitud
0,este sushi se le conoce como sushi madurado.,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,0.3780977725982666
1,"a esta cosa, que se parece al sushi, se le decía nare-zushi.",a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,0.4449356496334076
2,al sushi también se le designa el nombre de nare-zushi que significa sushi madurado.,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,0.473947525024414
3,de esta manera se tiene un sushi madurado que se conoce como nare-sushi.,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,0.6202208399772644
4,"aun con eso, el pescado sabe bien para los humanos.",a pesar de todo el sabor del pescado es agradable para el consumo humano (con toques ácidos).,0.6713066101074219
5,"con todo, a la gente le resulta agradable el sabor del pescado.",a pesar de todo el sabor del pescado es agradable para el consumo humano (con toques ácidos).,0.6816787123680115
6,"fue evolucionando la elaboración del hay-zushi a lo largo del periodo edo, lo que ahora es tokio y en japonés significa “puerta en la bahía”, y finalmente el chef hanaya yohei (1779-1858) invento un nuevo nombre al que le llamo nigiri-zushi que significa sushi formado con las manos.","la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).",0.684691846370697
7,"fue evolucionando la elaboración del hay-zushi a lo largo del periodo edo, lo que ahora es tokio y en japonés significa “puerta en la bahía”, y finalmente el chef hanaya yohei (1779-1858) invento un nuevo nombre al que le llamo nigiri-zushi que significa sushi formado con las manos.","la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).",0.684691846370697
8,"fue evolucionando la elaboración del hay-zushi a lo largo del periodo edo, lo que ahora es tokio y en japonés significa “puerta en la bahía”, y finalmente el chef hanaya yohei (1779-1858) invento un nuevo nombre al que le llamo nigiri-zushi que significa sushi formado con las manos.","la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).",0.684691846370697
9,"desde tiempos remotos ya se usaban procesos, nada complicados (usando humo o el salado) para conservar los pescados, que son alimentos muy perecederos.","el pescado es un alimento perecedero, es por esta razón por la que en la antigüedad se empleaban diversos métodos simples como el ahumado o el salazón.",0.6859121322631836
10,ahí el platillo fue bien recibido por que servía para conservar comida.,en japón este plato proliferó bajo el concepto de una nueva forma de conservar el pescado.,0.6899204254150391
11,"se sabe, por una referencia antigua, que se usó, alguna vez, el sushi para pagar los impuestos.","una de las referencias escritas más tempranas sobre el uso del sushi en japón data del año 718 como parte de un tratado de leyes denominado yororitsuryo, en el se hace referencia al uso del sushi como forma de pago de impuestos.",0.697019636631012
12,a esta manera de sushi  ahora se le llama nare-zushi (sushi maduro).,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,0.7109140157699585
13,a esta manera de sushi  ahora se le llama nare-zushi (sushi maduro).,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,0.7109140157699585
14,"a lo largo de los años, la preparación del sushi rápido en varios estados del oriente evolucionó en zushi nigiri.","la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).",0.7224739193916321
15,"es decir sushi hecho a mano, que se preparaba casi igual que hoy en día en algún restaurante de comida rápida.",esta preparación rápida del sushi es la que se conoce mayoritariamente en la actualidad y su preparación rápida la ha convertido en un elemento de fast food.,0.7231218218803406
16,"en la actualidad, se utiliza la técnica del cocinero hanaya yohei.","la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).",0.7295220494270325
17,"gracias a las inmigraciones japoneses a otros países el sushi se empezó a realizar en otros países, como estados unidos que fue un país que admitió japoneses para trabajar en la elaboración de líneas ferroviarias.",esta preparación rápida del sushi es la que se conoce mayoritariamente en la actualidad y su preparación rápida la ha convertido en un elemento de fast food.,0.7379447817802429
18,"gracias a las inmigraciones japoneses a otros países el sushi se empezó a realizar en otros países, como estados unidos que fue un país que admitió japoneses para trabajar en la elaboración de líneas ferroviarias.",esta preparación rápida del sushi es la que se conoce mayoritariamente en la actualidad y su preparación rápida la ha convertido en un elemento de fast food.,0.7379447817802429
19,"la preparación del haya-zushi evolucionó durante el período edo y al final de este período hanaya yohei creó la nueva forma, el nigiri-zushi, que era hecho a mano.","la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).",0.7478769421577454
20,esto ha provocado que los enzimas propios del pescado produzcan un fuerte sabor llamado inosina monofosfato (imp),"este método de conservación de pescados enteros, hace además que los propios enzimas del pescado generen un potente saborizante denominado inosina monofosfato (imp).",0.749557375907898
