,Oración 1,Oración 2
0,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,"a esta cosa, que se parece al sushi, se le decía nare-zushi."
1,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,al sushi también se le designa el nombre de nare-zushi que significa sushi madurado.
2,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,de esta manera se tiene un sushi madurado que se conoce como nare-sushi.
3,a pesar de todo el sabor del pescado es agradable para el consumo humano (con toques ácidos).,"aun con eso, el pescado sabe bien para los humanos."
4,a pesar de todo el sabor del pescado es agradable para el consumo humano (con toques ácidos).,"con todo, a la gente le resulta agradable el sabor del pescado."
5,en japón este plato proliferó bajo el concepto de una nueva forma de conservar el pescado.,ahí el platillo fue bien recibido por que servía para conservar comida.
6,"una de las referencias escritas más tempranas sobre el uso del sushi en japón data del año 718 como parte de un tratado de leyes denominado yororitsuryo, en el se hace referencia al uso del sushi como forma de pago de impuestos.","se sabe, por una referencia antigua, que se usó, alguna vez, el sushi para pagar los impuestos."
7,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,a esta manera de sushi  ahora se le llama nare-zushi (sushi maduro).
8,"este método de conservación de pescados enteros, hace además que los propios enzimas del pescado generen un potente saborizante denominado inosina monofosfato (imp).",esto ha provocado que los enzimas propios del pescado produzcan un fuerte sabor llamado inosina monofosfato (imp)
9,pero anterior al período mongol el sushi se había expandido por la zona del mar del japón.,antes de ese periodo el sushi era famoso en japón.
10,"este método de conservación de pescados enteros, hace además que los propios enzimas del pescado generen un potente saborizante denominado inosina monofosfato (imp).",este método para conservar el pescado hace también que las enzimas del pescado generen el saborizante inosina monofosfato.
11,las poblaciones de la costa no necesitaban aplicar estos métodos de conservación ya que disponían de pescado durante todo el año.,"los pueblos que había junto al mar no necesitaban hacer esto, pues todo el año tenían alimento del mar, o sea pescado."
12,en la época del siglo xvii se inventaba el vinagre de arroz y pronto cambiaría la forma de comer el nare-zushi (narezushi).,ello provocaría una revolución en las costumbres alimenticias relacionadas con el pescado.
13,"este método de conservación de pescados enteros, hace además que los propios enzimas del pescado generen un potente saborizante denominado inosina monofosfato (imp).",esta forma de hacer duraderos los pescados provoca que las mismas enzimas de dicho alimento suelten un saborizante fuerte que se llama inosina monofosfato.
14,"el pescado es un alimento perecedero, es por esta razón por la que en la antigüedad se empleaban diversos métodos simples como el ahumado o el salazón.","﻿uno de los alimentos que se echa a perder es el pescado, por eso hace mucho tiempo se usaban diferentes formas fáciles como ahumar y salazar."
15,en japón este plato proliferó bajo el concepto de una nueva forma de conservar el pescado.,para quedarse el pescado en japón se multiplico este plato.
16,este tipo de sushi se hizo muy popular y pronto se vendía en puestos callejeros en las zonas más humildes de osaka.,por ser el tipo de sushi más común  fue el más vendido en las zonas más pobres de osaka.
17,"el pescado es un alimento perecedero, es por esta razón por la que en la antigüedad se empleaban diversos métodos simples como el ahumado o el salazón.","﻿en la antigüedad se usaban mucho el pescado para ahumar y salazar, esto era porque era un alimento que se echaba a perder muy rápido."
18,a pesar de todo el sabor del pescado es agradable para el consumo humano (con toques ácidos).,es muy grato el consumo del pescado a pesar del gusto que tiene la gente.
19,el resultado era un pescado conservado en una pieza y con un olor desagradable.,"como resultado se obtiene un pescado que se conserva en una pieza, pero con un mal olor."
20,en japón este plato proliferó bajo el concepto de una nueva forma de conservar el pescado.,para conservar el pescado en japón se multiplico este plato.
21,este tipo de sushi se hizo muy popular y pronto se vendía en puestos callejeros en las zonas más humildes de osaka.,gracias a ser el tipo de sushi más común fue el más vendido en las zonas más pobres de todo osaka.
22,"es muy posible que poco a poco se dieran cuenta que el arroz del proceso de fermentación era igualmente comestible, pero un sabor ácido y con un fuerte olor a pescado.",el arroz fermentado fue después descubierto como comestible aunque con un gusto acido y oloroso.
23,"los cultivadores de arroz a lo largo del río mekong descubrieron la forma de conservar durante largos períodos de tiempo el pescado en arroz cocido, donde la fermentación proporciona diversos compuestos químicos que aromatizan y proporcionan sabor: ácido láctico y ácido acético (vinagre).","los campesinos que cultivaban arroz  junto al río mekong se dieron cuenta de que podrían conservar el pescado con arroz cocido, ahí, se fermenta y da varios productos químicos que dan aroma y sabor, estos son: ácido láctico y acético, o sea el vinagre."
24,"durante el período del imperio mongol que se expandió por el territorio chino, esta forma de conservar el pescado quedó parcialmente olvidada, quizás por ser las costumbres mongolas más carnívoras.",esta manera de conservar al pescado fue olvidada y todo seguro gracias a que las costumbres mongolas fueran las mas carnívoras durante el imperio mongol.
25,pero anterior al período mongol el sushi se había expandido por la zona del mar del japón.,pero anterior al periodo mongol ya se había dado a conocer el sushi a lo largo del mar del japón.
26,"a esta nueva forma de ingerir el pescado crudo con arroz la denominaron haya-zushi (sushi rápido), debido a que su preparación era mucho más simple y rápida.",como esta nueva preparación de hacer el sushi fue más rápida le llamaron de manera distinta con el nombre de haya-zushi que significa sushi rápido.
27,"los cultivadores de arroz a lo largo del río mekong descubrieron la forma de conservar durante largos períodos de tiempo el pescado en arroz cocido, donde la fermentación proporciona diversos compuestos químicos que aromatizan y proporcionan sabor: ácido láctico y ácido acético (vinagre).","los habitantes a lo largo del río mekong que cultivaban arroz descubrieron  que podían conservar el pescado en arroz cocido por mucho tiempo, ya que mediante la fermentación se producen varios compuestos químicos que aromatizan y dan sabor: ácido láctico y ácido acético."
28,"es muy posible que poco a poco se dieran cuenta que el arroz del proceso de fermentación era igualmente comestible, pero un sabor ácido y con un fuerte olor a pescado.","poco a poco, la gente vio que también el arroz se podía comer, sólo que apestaba a pescado y sabía ácido."
29,el resultado era un pescado conservado en una pieza y con un olor desagradable.,lo que concluyo del pescado conservado  fue un muy mal olor y en una sola pieza.
30,"durante el período del imperio mongol que se expandió por el territorio chino, esta forma de conservar el pescado quedó parcialmente olvidada, quizás por ser las costumbres mongolas más carnívoras.","fue durante el imperio de los mongoles que se expendió esta receta por china, luego fue olvidada."
31,"a esta nueva forma de ingerir el pescado crudo con arroz la denominaron haya-zushi (sushi rápido), debido a que su preparación era mucho más simple y rápida.","la nueva forma de comer así pescado crudo con arroz le llamaron sushi rápido, pues era simple y mucho más rápido prepararlo."
32,en la época del siglo xvii se inventaba el vinagre de arroz y pronto cambiaría la forma de comer el nare-zushi (narezushi).,el vinagre de arroz se invento en el siglo xvii y así modificar la manera en la que se comía el nare-zushi.
33,"la forma de conservar el pescado en salazón era aplicable a las poblaciones que vivían a lo largo del río mekong, hoy en día es conocida en japón con el nombre de shiokara, una especie de salsa de pescado (similar al garum romano).","la manera de conservar el pescado en salazón lo efectuaban los pobladores a lo largo del río mekong, con lo que hoy se conoce en japón como shiokara, un tipo de salsa de pescado muy parecida al garum romano."
34,"a esta nueva forma de ingerir el pescado crudo con arroz la denominaron haya-zushi (sushi rápido), debido a que su preparación era mucho más simple y rápida.","a partir de ese momento, surgió el hayasushi, cuya preparación era veloz y fácil."
35,"una de las referencias escritas más tempranas sobre el uso del sushi en japón data del año 718 como parte de un tratado de leyes denominado yororitsuryo, en el se hace referencia al uso del sushi como forma de pago de impuestos.","gracias a esta última técnica, en 718 el sushi hace acto de aparición en japón, pero más que un alimento, el sushi se utilizaba como forma de pago de impuestos, lo cual estaba estipulado en una ley llamada yororitsuryo."
36,este tipo de sushi se hizo muy popular y pronto se vendía en puestos callejeros en las zonas más humildes de osaka.,"esta variedad de sushi se convirtió en la hizo más popular, de forma que rápido se llegó a vender en la calle de los barrios pobres de osaka."
37,"durante el período del imperio mongol que se expandió por el territorio chino, esta forma de conservar el pescado quedó parcialmente olvidada, quizás por ser las costumbres mongolas más carnívoras.","en el reino mongol prácticamente ninguna técnica de conservación de sushi se desarrollo, ya que ellos eran partidarios más por la carne."
