,Oración 1,Oración 2,Similitud
0,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.",a veces puede espantar a algún foráneo que pasea por la ciudad.,0.22432935237884521
1,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.","ocasionalmente, sin embargo, puede llegar a sorprender a algún turista que pasee por la ciudad.",0.31880640983581543
2,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.",un retumbar que sin duda alguna espantará a cualquier persona no acostumbrada a la naturaleza de las calles de la metrópolis.,0.32949522137641907
3,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.","ya que la caldera de este artefacto opera quemando madera, la rapidez a la que avance también afecta la temperatura.",0.33634841442108154
4,"como el carrito mantiene el calor, el vapor que genera es empleado para silbar fuerte y distintivamente.",en la carreta se transportan dos productos específicos: camellos (batatas o boniatos) y plátanos.,0.358793705701828
5,"por su parte, el camote es un tubérculo cuyo cultivo estaba extendido por todo el continente antes de la conquista.",en la carreta se transportan dos productos específicos: camellos (batatas o boniatos) y plátanos.,0.3623580038547516
6,"quizá la forma de comercio sea más particular de las ciudades, incluyendo la ciudad de méxico, pero los productos son procedentes de áreas agrícolas del interior de la república.","si bien se les suele llamar camoteros, su venta no se limita a este producto: también se venden plátanos machos y nopal al horno.",0.3668646216392517
7,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.",estos pequeños vehículos que avanzan gracias a la fuerza de empuje del camotero pueden llegar a pesar trecientos kilos.,0.3816887438297272
8,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.",poco es similar a la experiencia nocturna de dar un paseo y ver cómo los sirven.,0.3866478204727173
9,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.","hay que decir que esto también varía según la velocidad a la que se empuja el carro, ya que este laminador funciona con madera.",0.3893778920173645
10,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.","bajo la luz de la noche, observando la avenida respirando ese suave olor proveniente del carrito.",0.3970773220062256
11,"aunque en méxico se les conoce como camoteros, no son camotes lo único que vende: ofrece también plátanos machos y el nopal es horneado.","bajo la luz de la noche, observando la avenida respirando ese suave olor proveniente del carrito.",0.4040050208568573
12,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.","si bien se les suele llamar camoteros, su venta no se limita a este producto: también se venden plátanos machos y nopal al horno.",0.41715431213378906
13,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.","este tiempo llega a varias dependiendo de la rapidez con la que el carrito es empujado, ya que dicho horno funciona a través de leña.",0.41753607988357544
14,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.","a su vez, el camote es un tubérculo que ya era un cultivo propagado en el continente antes del dominio español.",0.4178679585456848
15,"como el carrito mantiene el calor, el vapor que genera es empleado para silbar fuerte y distintivamente.",estos postres son considerados parte de la gastronomía mexicana.,0.4229341447353363
16,"méxico tiene una amplia gama de tradiciones y costumbres. una bastante común en las ciudades es la del carrito de los camotes, identificado por su particular silbido.","si bien se les suele llamar camoteros, su venta no se limita a este producto: también se venden plátanos machos y nopal al horno.",0.4275366961956024
17,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.",parte de lo llamativo a la hora de consumirlos radica en el retumbar del silbido al inicio de la noche.,0.4357033371925354
18,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.",la preparación de un camote con dulce con el sol puesto es una experiencia incomparable.,0.4374340772628784
19,no hay muchas sensaciones que se comparen al hecho de salir por la noche y ver cómo preparan un camote con leche o mermelada.,"dos artículos sumamente populares son trasladados por el móvil, camotes (batatas o boniatos) y plátanos.",0.4394993185997009
20,"aunque en méxico se les conoce como camoteros, no son camotes lo único que vende: ofrece también plátanos machos y el nopal es horneado.","nuestros dos frutos pasan por un proceso de cocción desde media hora hasta la hora completa, dependiendo de la temperatura de la caldera rodante.",0.4460216462612152
21,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.","el elemento base del stand ambulante es el acero, de una forma similar a un cilindro al que se le han agregado ruedas.",0.4466058611869812
22,"por su parte, el camote es un tubérculo cuyo cultivo estaba extendido por todo el continente antes de la conquista.","dos artículos sumamente populares son trasladados por el móvil, camotes (batatas o boniatos) y plátanos.",0.4476323127746582
23,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.","esta experiencia se enriquece al ver la avenida iluminada por las luces nocturnas, al tiempo que se percibe el dulce aroma proveniente del carrito.",0.45033395290374756
24,"los camoteros de la ciudad ofrecen generalmente frutos de piel púrpura y pulpa blanca, aunque también hay amarillos.","a su vez, el camote es un tubérculo que ya era un cultivo propagado en el continente antes del dominio español.",0.4507705867290497
25,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.","el vehículo es en su mayoría de metal, posee una forma cilíndrica a la cual se le agregan las ruedas que permiten su movimiento.",0.45161527395248413
26,"aunque en méxico se les conoce como camoteros, no son camotes lo único que vende: ofrece también plátanos machos y el nopal es horneado.",el vendedor ambulante recorre las calles de la ciudad empujado su carrito y ofreciendo su producto.,0.4533393681049347
27,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.",el vendedor ambulante recorre las calles de la ciudad empujado su carrito y ofreciendo su producto.,0.4539397060871124
28,el sonido que los distingue se llega a oír generalmente en las primeras horas de la noche y eso hace parte del atractivo de comerlos.,"dos artículos sumamente populares son trasladados por el móvil, camotes (batatas o boniatos) y plátanos.",0.45411911606788635
29,"los camoteros de la ciudad ofrecen generalmente frutos de piel púrpura y pulpa blanca, aunque también hay amarillos.","si bien se les suele llamar camoteros, su venta no se limita a este producto: también se venden plátanos machos y nopal al horno.",0.4559279978275299
30,el vendedor ambulante empuja el carrito de los camotes para trasladarse entre las calles de la ciudad y comercializar su producto.,"aunque en méxico se llaman camoteros,  lo único que venden no es camote: también ofrecen camote cocido y nopal.",0.45794662833213806
31,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.","esta caldera logra servir por el fuego generado por leña, por lo que la temperatura depende de la velocidad de empuje que tiene el carrito.",0.45829686522483826
32,"quizá la forma de comercio sea más particular de las ciudades, incluyendo la ciudad de méxico, pero los productos son procedentes de áreas agrícolas del interior de la república.","aunque en méxico se llaman camoteros,  lo único que venden no es camote: también ofrecen camote cocido y nopal.",0.45914071798324585
