,Oración 1,Oración 2,Similitud
0,"la empresa de catering caterers bubble, de londres, incorpora técnicas moleculares en gran parte de su menú.","ahora, cuando vas a un restaurante, quieres que te sorprendan, reírte un rato y eso es lo que hace atractivo comer afuera. creo que ese es el cambio.",0.23222258687019348
1,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.","ahora, cuando vas a un restaurante, quieres que te sorprendan, reírte un rato y eso es lo que hace atractivo comer afuera. creo que ese es el cambio.",0.2833861708641052
2,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.",las nuevas técnicas inusuales en la cocina molecular han sido tendencia.,0.2994169592857361
3,"la empresa de catering caterers bubble, de londres, incorpora técnicas moleculares en gran parte de su menú.","hoy en día, se espera poder pasar un buen rato y que te sorprendan.",0.31629255414009094
4,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","en la mayoría de los platillos de su carta, la compañía de catering carterers bubble de londres incluye métodos moleculares.",0.3461587727069855
5,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.","hoy en día, se espera poder pasar un buen rato y que te sorprendan.",0.3523072898387909
6,"la congelación con deshidratación, uno de los nuevos métodos empleados en los restaurantes experimentales, maximiza el sabor y la textura en cada bocado.","ahora, cuando vas a un restaurante, quieres que te sorprendan, reírte un rato y eso es lo que hace atractivo comer afuera. creo que ese es el cambio.",0.3621668219566345
7,"la empresa de catering caterers bubble, de londres, incorpora técnicas moleculares en gran parte de su menú.","ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. yo digo que ese es el cambio.",0.36278340220451355
8,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","la empresa londinense, caterers bubble, incluye en la mayoría de sus menús técnicas moleculares.",0.3643369972705841
9,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","los términos ""cocina molecular"" o ""gastronomía molecular"" tienen más popularidad en los canales de comunicación que en la hostelería.",0.36613455414772034
10,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","caterers bubble, la empresa de catering de londres, emplea técnicas moleculares en la mayoría de su menú.",0.3759743869304657
11,"la empresa de catering caterers bubble, de londres, incorpora técnicas moleculares en gran parte de su menú.","entonces, cuando se va a un restaurante, se espera que te sorprendan, reírte un rato y esto engloba el atractivo de salir a comer. esto es lo que diferencia.",0.37641641497612
12,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","la empresa de catering caterers bubble, de londres, añade técnicas moleculares en la mayoría de su menú.",0.3777177631855011
13,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","la agencia de catering caterers bubble, de londres, integra técnicas moleculares en la mayor parte de su menú.",0.3790457546710968
