,Oración 1,Oración 2,Similitud
0,"la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).","a esta cosa, que se parece al sushi, se le decía nare-zushi.",0.15798188745975494
1,"la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).",este sushi se le conoce como sushi madurado.,0.18846440315246582
2,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,este sushi se le conoce como sushi madurado.,0.21083347499370575
3,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,"el resultado es un pez entero increíblemente bien conservado, pero realmente con muy mal olor.",0.2573542892932892
4,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,"el resultado es un pez entero increíblemente bien conservado, pero realmente con muy mal olor.",0.2711884379386902
5,a pesar de todo el sabor del pescado es agradable para el consumo humano (con toques ácidos).,"a esta cosa, que se parece al sushi, se le decía nare-zushi.",0.28251758217811584
6,"este método de conservación de pescados enteros, hace además que los propios enzimas del pescado generen un potente saborizante denominado inosina monofosfato (imp).","a esta cosa, que se parece al sushi, se le decía nare-zushi.",0.2826980650424957
7,a pesar de todo el sabor del pescado es agradable para el consumo humano (con toques ácidos).,este sushi se le conoce como sushi madurado.,0.28579747676849365
8,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,"el resultado es un pez entero increíblemente bien conservado, pero realmente con muy mal olor.",0.30421048402786255
9,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.",este sushi se le conoce como sushi madurado.,0.30652323365211487
10,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.","a esta cosa, que se parece al sushi, se le decía nare-zushi.",0.3192150890827179
11,"este método de conservación de pescados enteros, hace además que los propios enzimas del pescado generen un potente saborizante denominado inosina monofosfato (imp).",este sushi se le conoce como sushi madurado.,0.32356905937194824
12,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",este sushi se le conoce como sushi madurado.,0.32955440878868103
13,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,"a esta cosa, que se parece al sushi, se le decía nare-zushi.",0.3314172923564911
14,"el moho se dedica a consumir los hidratos de carbono existentes en el arroz debido a la acción de los enzimas, éstos poseen la capacidad de transformar las cadenas complejas de hidratos de carbono presentes en arroz azúcares simples (glucosa), de la misma forma estos enzimas digestivos del propio pescado rompen las proteínas de su carne para obtener los diferentes aminoácidos.",este sushi se le conoce como sushi madurado.,0.336925745010376
15,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,esto ha provocado que los enzimas propios del pescado produzcan un fuerte sabor llamado inosina monofosfato (imp),0.3422163724899292
16,"la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).","poco a poco, la gente vio que también el arroz se podía comer, sólo que apestaba a pescado y sabía ácido.",0.3429209589958191
17,en japón este plato proliferó bajo el concepto de una nueva forma de conservar el pescado.,"a esta cosa, que se parece al sushi, se le decía nare-zushi.",0.34719711542129517
18,el resultado era un pescado conservado en una pieza y con un olor desagradable.,en 1910 cerca de 40 mil japoneses se van a eeuu para construir vías ferroviarias.,0.35766056180000305
19,el resultado era un pescado conservado en una pieza y con un olor desagradable.,en 1910 cerca de 40 mil japoneses se van a eeuu para construir vías ferroviarias.,0.35766056180000305
20,el resultado era un pescado conservado en una pieza y con un olor desagradable.,en 1910 cerca de 40 mil japoneses se van a eeuu para construir vías ferroviarias.,0.35766056180000305
21,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,el arroz fermentado fue después descubierto como comestible aunque con un gusto acido y oloroso.,0.35767441987991333
22,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,esto ha provocado que los enzimas propios del pescado produzcan un fuerte sabor llamado inosina monofosfato (imp),0.3585596978664398
23,el resultado era un pescado conservado en una pieza y con un olor desagradable.,a esta manera de sushi  ahora se le llama nare-zushi (sushi maduro).,0.3610284924507141
24,el resultado era un pescado conservado en una pieza y con un olor desagradable.,a esta manera de sushi  ahora se le llama nare-zushi (sushi maduro).,0.3610284924507141
25,"la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).","el resultado es un pez entero increíblemente bien conservado, pero realmente con muy mal olor.",0.36363422870635986
26,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,"aun con eso, el pescado sabe bien para los humanos.",0.3660830557346344
27,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,"el resultado es un pez entero increíblemente bien conservado, pero realmente con muy mal olor.",0.3693676292896271
28,"la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).","uno de los alimentos que se echa a perder es el pescado, por eso hace mucho tiempo se usaban diferentes formas fáciles como ahumar y salazar.",0.37020474672317505
29,"la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).","aun con eso, el pescado sabe bien para los humanos.",0.3715665936470032
30,en la época del siglo xvii se inventaba el vinagre de arroz y pronto cambiaría la forma de comer el nare-zushi (narezushi).,este sushi se le conoce como sushi madurado.,0.37267863750457764
31,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,este sushi se le conoce como sushi madurado.,0.37300729751586914
32,en japón este plato proliferó bajo el concepto de una nueva forma de conservar el pescado.,este sushi se le conoce como sushi madurado.,0.3749699592590332
