,Oración 1,Oración 2,Similitud
0,actualmente se consume a diario en todos los hogares iraníes.,al día de hoy es un platillo típico dentro de todas las familias iraníes.,0.5176385045051575
1,actualmente se consume a diario en todos los hogares iraníes.,"hoy día, el consumo de este platillo iraní es habitual en las tierras de la antigua persia.",0.576361358165741
2,esta última forma se puede encontrar con mucha frecuencia especialmente en españa.,en españa es muy común encontrar esto.,0.6487374305725098
3,existen dos tipos de kebab y sus diferencias se originan de acuerdo al país en el que se cocine.,hay dos tipos de kebab y son diferentes debido a que vienen de diferentes países.,0.7125246524810791
4,una de las grandes protagonistas de este plato y que lo diferencia de cualquier otro son las salsas.,la salsa es una parte importante de este platillo y es lo que lo hace diferente a los otros.,0.7158266305923462
5,actualmente se consume a diario en todos los hogares iraníes.,en la actualidad es un platillo que los iraníes comen a diario.,0.7471380233764648
6,esta última forma se puede encontrar con mucha frecuencia especialmente en españa.,en españa es muy común encontrar esta última forma.,0.7608695030212402
7,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,"además, el pan también puede ser distinto dependiendo de quién cocine el platillo",0.781781017780304
8,esta última forma se puede encontrar con mucha frecuencia especialmente en españa.,es frecuente encontrar esta última forma en españa.,0.783414900302887
9,el sistema no difiere mucho de esa imagen que todos tenemos de los banquetes medievales en los que se asaba un cerdo en un gran palo sobre una hoguera.,"el sistema es parecido a la imagen colectiva del cerdo ensartado sobre una fogata, típico de los banquetes medievales.",0.7982373833656311
10,una de las grandes protagonistas de este plato y que lo diferencia de cualquier otro son las salsas.,las salsas son uno de los principales llamativos del platillo y también ayudan al protagonismo mundial del platillo.,0.8014257550239563
11,"su nombre proviene de los persas, los cuales empleaban este alimento para dar de comer a sus reyes y significa ""carne a la parrilla"".","el nombre es persa, significa “carne a la parrilla” y este platillo era utilizado para alimentar a los reyes",0.8097946047782898
12,"en irán, hay muchas variaciones del mismo platillo, y una de las últimas tendencias es cocinarlo también con pescado o pavo.","aunque en el país iraní se suele variar este platillo, últimamente la moda es prepararlo con pescado o pavo.",0.8127549290657043
13,"no hay que confundir este pincho con la especia de albondiguilla cárnea llamada keppe, ya que este suele basarse en carnes crudas picadas o molidas.","el kebab, sin embargo, es distinto al keppe, esta última es una albóndiga hecha de carnes crudas picadas o molidas.",0.8170531988143921
14,el término kebab hace referencia a carne que es asada o cocida en rollos de carne prensada en un hornillo vertical y puede ser servido sobre platos.,"la palabra kebab es un platillo de carne asada o cocida. se forman rollos de carne prensada y se mete en un hornillo vertical, si se desea se sirve sobre platos.",0.8216608762741089
