,Oración 1,Oración 2,Similitud
0,el pan de muerto también forma parte de la ofrenda hacia los muertos.,algo que también es elemento de un altar es el pan de muerto.,0.6195023655891418
1,"una característica es la instalación de altares domésticos en honor de los muertos de la familia donde se ofrecen alimentos, flores y objetos de uso cotidiano del difunto.","se levantan altares en homenaje a los difuntos, donde objetos relacionados al muerto se colocan sobre el altar.",0.6552436947822571
2,"el dulce no es lo único comestible en una ofrenda, ya que también se pone comida, la cual debe ser del agrado del fallecido.",la comida del agrado del difunto también acompaña a estos dulces para ofrecerle alimento.,0.6594961285591125
3,"el dulce no es lo único comestible en una ofrenda, ya que también se pone comida, la cual debe ser del agrado del fallecido.","además de los dulces, otros factores comestibles en el altar son los alimentos que le gustaban al difunto.",0.6614623069763184
4,los altares de dos niveles son una representación de la división del cielo y la tierra.,aquellos de dos pisos simbolizan el firmamento y el suelo.,0.6757130026817322
5,"el dulce no es lo único comestible en una ofrenda, ya que también se pone comida, la cual debe ser del agrado del fallecido.","las ofrendas no tienen solo dulces, si no también comida que le gustaba al fallecido.",0.6958483457565308
6,méxico es un país rico en tradiciones y costumbres presentes en cada día del año.,todos los días se puede percibir que la república mexicana es un lugar donde abundan las costumbres y tradiciones.,0.7168677449226379
7,otras bebidas como el tequila son servidas en envases de barro para mantener el tradicionalismo. puede incluirse cualquier bebida del gusto del difunto.,se puede incluir alguna bebida que le gustaba al fallecido. bebidas como el tequila se sirven en vasos de barro por tradición.,0.7187445163726807
8,el pan de muerto también forma parte de la ofrenda hacia los muertos.,el tradicional pan tiene un lugar importante en el ofrecimiento a los difuntos.,0.7326089143753052
9,"el dulce no es lo único comestible en una ofrenda, ya que también se pone comida, la cual debe ser del agrado del fallecido.",las golosinas se acompañan de comida que sea de gusto del difunto.,0.738064169883728
10,en los ritos funerarios de estas civilizaciones era común dejar la sepultura de objetos de uso cotidiano como herramientas de oficio para ayudar al difunto en su travesía al otro mundo.,"sepultar objetos que pertenecían al difunto lo asisten en su viaje al inframundo, lo que ocurría con frecuencia en las tradiciones prehispánicas.",0.7446830868721008
11,las flores fungen como ornato en todo altar y sepulcro y son un símbolo de bienvenida.,"las flores adornan todo el altar y el sepulcro, lo que representa una bienvenida.",0.755632758140564
12,méxico es un país rico en tradiciones y costumbres presentes en cada día del año.,la república mexicana es una nación donde todo el año y todos los días se manifiestan abundantes tradiciones y costumbres.,0.7577601075172424
13,en los ritos funerarios de estas civilizaciones era común dejar la sepultura de objetos de uso cotidiano como herramientas de oficio para ayudar al difunto en su travesía al otro mundo.,durante los procedimientos solemnes se acostumbraba poner herramientas que servirían al finado a cruzar hacía el mundo ultraterreno.,0.75897616147995
14,"la tortilla, los platos de mole y pozole son frecuentes en la cocina criolla y, por tanto, en los altares.","en las ofrendas es frecuente la cocina criolla como las tortillas, el mole y el pozole.",0.7592071890830994
15,"con esta tradición, se busca rendir tributo a los antepasados familiares, a los difuntos cercanos o a personajes importantes.",esta tradición funge como ofrenda para los antepasados o gente cercana que ya falleció.,0.76139897108078
16,el pan de muerto también forma parte de la ofrenda hacia los muertos.,el pan de muerto también se ofrece al muerto en su altar.,0.7633402943611145
17,los indígenas compartían la creencia de la existencia de una entidad anímica en el cuerpo que le daba identidad y que lo abandona al morir para ir a una existencia ultraterrenal.,"los nativos afirman que el alma habita en nuestro organismo y nos brinda personalidad, pero sale al morir para ir al “más allá”.",0.7635856866836548
18,las flores fungen como ornato en todo altar y sepulcro y son un símbolo de bienvenida.,"el papel de las flores, a parte de dar la bienvenida, es adornar toda la ofrenda y brindar sepulcro.",0.7758025527000427
19,¿los alimentos pierden su sabor? ¿cómo se llevan los muertos el sabor? ¿cómo albergan su alma y la de los alimentos?,"es cuestionable si los alimentos pierden su sabor, cómo transportan los difuntos el sabor y cómo alojan su alma y la de los alimentos.",0.7780017256736755
20,el evento está lleno de color y misterio en donde cantos y rezos acompañan al espíritu a degustar la comida.,el color y el misterio atestan el evento en el cual se canta y se reza para ir junto al difunto a probar los alimentos.,0.7793794274330139
21,"con esta tradición, se busca rendir tributo a los antepasados familiares, a los difuntos cercanos o a personajes importantes.","el objetivo de esta tradición es rendir tributo a los miembros de la familia que fallecieron, personas cercanas o de importancia.",0.7845479249954224
22,"la popularidad de la comida es considerada como un método muy tradicional, en donde lo importante es el tiempo de convivir de nuevo con aquellos seres queridos.","según la tradición popular, es a la hora de la comida que por fin se puede volver a convivir con los difuntos.",0.7847926616668701
23,"el dulce no es lo único comestible en una ofrenda, ya que también se pone comida, la cual debe ser del agrado del fallecido.","no sólo los dulces de un altar se comen, pues también se colocan alimentos que le gustaban al muerto.",0.7862560749053955
24,las flores fungen como ornato en todo altar y sepulcro y son un símbolo de bienvenida.,para dar bienvenida y decorar se colocan flores sobre altares y sepulcros.,0.7917284369468689
25,el pan de muerto también forma parte de la ofrenda hacia los muertos.,otro elemento esencial en el altar para los difuntos es el pan de muerto.,0.7975570559501648
26,"la popularidad de la comida es considerada como un método muy tradicional, en donde lo importante es el tiempo de convivir de nuevo con aquellos seres queridos.","los alimentos tienen fama ya que se concibe como una forma de costumbre, ahí lo especial es el momento en que pasamos con las personas que queremos.",0.7977712154388428
27,"la tortilla, los platos de mole y pozole son frecuentes en la cocina criolla y, por tanto, en los altares.","en la gastronomía criolla era común la tortilla, el mole y el pozole, así que se usa también en la ofrenda.",0.7979880571365356
28,otras bebidas como el tequila son servidas en envases de barro para mantener el tradicionalismo. puede incluirse cualquier bebida del gusto del difunto.,"para mantener la tradición, se sirven licores como el tequila en recipientes de barro. toda bebida que le gustara al fallecido puede incorporarse.",0.800564169883728
29,"usualmente, los altares están compuestos por varios niveles que representan la cosmovisión, el mundo material y el inmaterial.","con frecuencia los ofrecimientos tienen diferentes pisos que simbolizan las formas de pensar, lo visible y lo invisible.",0.8028912544250488
30,todos ellos se componen de aromas que simbolizan la purificación del alma. el aroma es capaz de guiar o atraer a los difuntos.,todas las ofrendas tienen aromas que simbolizan la purificación del alma ya que este puede guiar a las almas.,0.8040980696678162
31,una de las tradiciones más reconocidas es el día de muertos el cual ya un referente internacional.,una de las tradiciones más populares es la del día de muertos tanto que es conocida internacionalmente,0.8084424138069153
32,el pan de muerto también forma parte de la ofrenda hacia los muertos.,algo que también forma parte de las ofrendas es el pan de muerto.,0.8097384572029114
33,"la popularidad de la comida es considerada como un método muy tradicional, en donde lo importante es el tiempo de convivir de nuevo con aquellos seres queridos.",la fama de la comida se considera una forma popular en la que la importancia radica en pasar el tiempo con la familia.,0.8099560737609863
