,Oración 1,Oración 2,Similitud
0,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,este sushi se le conoce como sushi madurado.,0.3780977725982666
1,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,"a esta cosa, que se parece al sushi, se le decía nare-zushi.",0.4449356496334076
2,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,al sushi también se le designa el nombre de nare-zushi que significa sushi madurado.,0.47394752502441406
3,el concepto del sushi empezó a ser conocido en california.,actualmente se quiere mejorar las clases de arroz usados para elaborar sushi.,0.532960057258606
4,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,este tipo de arroz (resultado de combinar correctamente dos cepas de arroz nourin) es perfecto para el sushi.,0.5898475050926208
5,a pesar de todo el sabor del pescado es agradable para el consumo humano (con toques ácidos).,"gracias a las inmigraciones japoneses a otros países el sushi se empezó a realizar en otros países, como estados unidos que fue un país que admitió japoneses para trabajar en la elaboración de líneas ferroviarias.",0.5988265872001648
6,"su preparación posterior, tras sacarlo de las ánforas era simple: se le quitaban las entrañas, se tiraba el arroz y la carne se disponía en piezas para su consumo.",en 1910 cerca de 40 mil japoneses se van a eeuu para construir vías ferroviarias.,0.6033411026000977
7,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,de esta manera se tiene un sushi madurado que se conoce como nare-sushi.,0.6202208399772644
8,"durante el período del imperio mongol que se expandió por el territorio chino, esta forma de conservar el pescado quedó parcialmente olvidada, quizás por ser las costumbres mongolas más carnívoras.",la aptitud para compactarse la diversidad de arroz en japón llamada koshihikari se localiza en la tipología de los arroces glutinos.,0.625588059425354
9,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,"ej japón usan un tipo de arroz que se llama koshihikari, cuya mayor característica es que se compacta; es decir que es arroz glutinoso.",0.6290040016174316
10,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,el sushi se empezó a conocer en california.,0.6677563190460205
11,a pesar de todo el sabor del pescado es agradable para el consumo humano (con toques ácidos).,"aun con eso, el pescado sabe bien para los humanos.",0.6713066101074219
12,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,"por ejemplo, en japón se emplea el arroz koshihikari (creado en 1956), con gran capacidad de compactarse, pues es un arroz pegajoso.",0.6811150908470154
13,a pesar de todo el sabor del pescado es agradable para el consumo humano (con toques ácidos).,"con todo, a la gente le resulta agradable el sabor del pescado.",0.6816787123680115
