,Oración 1,Oración 2,Similitud
0,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,la aptitud para compactarse la diversidad de arroz en japón llamada koshihikari se localiza en la tipología de los arroces glutinos.,0.9558889865875244
1,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,los inmigrantes comenzaron a hacer el sushi en e.u. cuando aceptaron a varias personas de japón para que construyeran trenes y colocaran vías de tren en américa.,0.8884963393211365
2,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.","así, en el año de 1910, más de treinta mil japoneses se fueron a américa del norte para hacer trenes y poner vías.",0.8855082392692566
3,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,la aptitud para compactarse la diversidad de arroz en japón llamada koshihikari se localiza en la tipología de los arroces glutinos.,0.8781984448432922
4,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,el sushi sale fuera de japón debido en parte a la emigración de japoneses a eeuu.,0.8763982653617859
5,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",en 1910 mas de treinta y cinco mil japoneses llegan a estados unidos para construir líneas ferroviarias.,0.8635124564170837
6,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.",la aptitud para compactarse la diversidad de arroz en japón llamada koshihikari se localiza en la tipología de los arroces glutinos.,0.8606667518615723
7,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,en 1956 se creó el arroz perfecto para hacer el sushi por la mezcla de dos cepas distintas.,0.8576805591583252
8,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,en 1956 se creó el arroz perfecto para hacer el sushi por la mezcla de dos cepas distintas de nourin no.1 y nourin no. 22.,0.8562094569206238
9,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,en 1956 se creó el arroz perfecto para hacer el sushi por la mezcla de dos cepas distintas de nourin no.1 y nourin no. 22.,0.8504119515419006
10,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,"gracias a las inmigraciones japonesas a otros países el sushi se empezó a realizar en otros países, como estados unidos que fue un país que admitió japoneses para trabajar en la elaboración de líneas ferroviarias.",0.8485034704208374
11,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,en 1956 se creó el arroz perfecto para hacer el sushi por la mezcla de dos cepas distintas.,0.8446932435035706
12,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,el sushi sale fuera de japón debido en parte a la emigración de japoneses a eeuu.,0.8266593813896179
13,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.",el sushi sale fuera de japón debido en parte a la emigración de japoneses a eeuu.,0.82620769739151
14,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",la aptitud para compactarse la diversidad de arroz en japón llamada koshihikari se localiza en la tipología de los arroces glutinos.,0.8257619142532349
15,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,"gracias a las inmigraciones japonesas a otros países el sushi se empezó a realizar en otros países, como estados unidos que fue un país que admitió japoneses para trabajar en la elaboración de líneas ferroviarias.",0.8191089034080505
16,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,el sushi sale fuera de japón debido en parte a la emigración de japoneses a eeuu.,0.8163478970527649
17,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.",en japón se utiliza un tipo de arroz glutinoso conocido como koshihikari por su capacidad para compactarse.,0.8106635808944702
18,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,en 1956 se creó el arroz perfecto para hacer el sushi por la mezcla de dos cepas distintas de nourin no.1 y nourin no. 22.,0.8101168274879456
19,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",en 1956 se creó el arroz perfecto para hacer el sushi por la mezcla de dos cepas distintas de nourin no.1 y nourin no. 22.,0.8060155510902405
20,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,"así, en el año de 1910, más de treinta mil japoneses se fueron a américa del norte para hacer trenes y poner vías.",0.8052261471748352
21,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,actualmente se desea mejorar las variedades de arroz para el sushi.,0.8016306161880493
22,el concepto del sushi empezó a ser conocido en california.,"este arroz es excelente para elaborar sushi, aunque apenas fue utilizado al ser descubierto en 1956, por la mezcla de dos cepas diferentes.",0.8011209964752197
23,el concepto del sushi empezó a ser conocido en california.,el sushi sale fuera de japón debido en parte a la emigración de japoneses a eeuu.,0.8007764220237732
24,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,"gracias a las inmigraciones japonesas a otros países el sushi se empezó a realizar en otros países, como estados unidos que fue un país que admitió japoneses para trabajar en la elaboración de líneas ferroviarias.",0.7998108267784119
25,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.","este arroz es excelente para elaborar sushi, aunque apenas fue utilizado al ser descubierto en 1956, por la mezcla de dos cepas diferentes.",0.7983017563819885
26,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,"así, en el año de 1910, más de treinta mil japoneses se fueron a américa del norte para hacer trenes y poner vías.",0.7982318997383118
27,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,en japón se utiliza un tipo de arroz glutinoso conocido como koshihikari por su capacidad para compactarse.,0.7901815176010132
28,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",en 1910 cerca de 40 mil japoneses se van a eeuu para construir vías ferroviarias.,0.7876800298690796
29,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.",el sushi apareció en la vida californiana.,0.7873368263244629
30,el concepto del sushi empezó a ser conocido en california.,en 1956 se creó el arroz perfecto para hacer el sushi por la mezcla de dos cepas distintas.,0.7858213782310486
31,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,el sushi apareció en la vida californiana.,0.7840661406517029
32,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",en japón se utiliza un tipo de arroz glutinoso conocido como koshihikari por su capacidad para compactarse.,0.7785406708717346
33,el concepto del sushi empezó a ser conocido en california.,en japón se utiliza un tipo de arroz glutinoso conocido como koshihikari por su capacidad para compactarse.,0.7743552327156067
34,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,en 1956 se creó el arroz perfecto para hacer el sushi por la mezcla de dos cepas distintas.,0.7740817666053772
35,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,los inmigrantes comenzaron a hacer el sushi en e.u. cuando aceptaron a varias personas de japón para que construyeran trenes y colocaran vías de tren en américa.,0.7739492058753967
36,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",en 1956 se creó el arroz perfecto para hacer el sushi por la mezcla de dos cepas distintas.,0.771554172039032
37,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.","así, en el año de 1910, más de treinta mil japoneses se fueron a américa del norte para hacer trenes y poner vías.",0.7696133852005005
38,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,los inmigrantes comenzaron a hacer el sushi en e.u. cuando aceptaron a varias personas de japón para que construyeran trenes y colocaran vías de tren en américa.,0.7694087624549866
39,el concepto del sushi empezó a ser conocido en california.,en 1956 se creó el arroz perfecto para hacer el sushi por la mezcla de dos cepas distintas de nourin no.1 y nourin no. 22.,0.7680547833442688
40,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",el sushi empezó a conocerse en california.,0.7581730484962463
41,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,el sushi apareció en la vida californiana.,0.7578138113021851
42,el concepto del sushi empezó a ser conocido en california.,"así, en el año de 1910, más de treinta mil japoneses se fueron a américa del norte para hacer trenes y poner vías.",0.7567805647850037
43,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",actualmente se desea mejorar las variedades de arroz para el sushi.,0.7557278275489807
44,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,"hoy en día, tratamos de que loa arroces que se usan sean mejores.",0.7543910145759583
