,Unnamed: 0,Unnamed: 0.1,Oración 1,Oración 2,Similitud
0,0.0,0.0,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,"a esta cosa, que se parece al sushi, se le decía nare-zushi.",0.4449356496334076
1,1.0,1.0,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,al sushi también se le designa el nombre de nare-zushi que significa sushi madurado.,0.473947525024414
2,2.0,2.0,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,de esta manera se tiene un sushi madurado que se conoce como nare-sushi.,0.6202208399772644
3,3.0,3.0,a pesar de todo el sabor del pescado es agradable para el consumo humano (con toques ácidos).,"aun con eso, el pescado sabe bien para los humanos.",0.6713066101074219
4,4.0,4.0,a pesar de todo el sabor del pescado es agradable para el consumo humano (con toques ácidos).,"con todo, a la gente le resulta agradable el sabor del pescado.",0.6816787123680115
5,5.0,5.0,"la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).","fue evolucionando la elaboración del hay-zushi a lo largo del periodo edo, lo que ahora es tokio y en japonés significa “puerta en la bahía”, y finalmente el chef hanaya yohei (1779-1858) invento un nuevo nombre al que le llamo nigiri-zushi que significa sushi formado con las manos.",0.684691846370697
6,6.0,6.0,en japón este plato proliferó bajo el concepto de una nueva forma de conservar el pescado.,ahí el platillo fue bien recibido por que servía para conservar comida.,0.6899204254150391
7,7.0,7.0,"una de las referencias escritas más tempranas sobre el uso del sushi en japón data del año 718 como parte de un tratado de leyes denominado yororitsuryo, en el se hace referencia al uso del sushi como forma de pago de impuestos.","se sabe, por una referencia antigua, que se usó, alguna vez, el sushi para pagar los impuestos.",0.697019636631012
8,8.0,8.0,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,a esta manera de sushi  ahora se le llama nare-zushi (sushi maduro).,0.7109140157699585
9,9.0,9.0,"la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).","a lo largo de los años, la preparación del sushi rápido en varios estados del oriente evolucionó en zushi nigiri.",0.7224739193916321
10,10.0,10.0,esta preparación rápida del sushi es la que se conoce mayoritariamente en la actualidad y su preparación rápida la ha convertido en un elemento de fast food.,"es decir sushi hecho a mano, que se preparaba casi igual que hoy en día en algún restaurante de comida rápida.",0.7231218218803406
11,11.0,11.0,"la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).","en la actualidad, se utiliza la técnica del cocinero hanaya yohei.",0.7295220494270325
12,12.0,12.0,esta preparación rápida del sushi es la que se conoce mayoritariamente en la actualidad y su preparación rápida la ha convertido en un elemento de fast food.,"gracias a las inmigraciones japoneses a otros países el sushi se empezó a realizar en otros países, como estados unidos que fue un país que admitió japoneses para trabajar en la elaboración de líneas ferroviarias.",0.7379447817802429
13,13.0,13.0,"este método de conservación de pescados enteros, hace además que los propios enzimas del pescado generen un potente saborizante denominado inosina monofosfato (imp).",esto ha provocado que los enzimas propios del pescado produzcan un fuerte sabor llamado inosina monofosfato (imp),0.749557375907898
14,14.0,14.0,pero anterior al período mongol el sushi se había expandido por la zona del mar del japón.,antes de ese periodo el sushi era famoso en japón.,0.7548502087593079
15,15.0,15.0,"este método de conservación de pescados enteros, hace además que los propios enzimas del pescado generen un potente saborizante denominado inosina monofosfato (imp).",este método para conservar el pescado hace también que las enzimas del pescado generen el saborizante inosina monofosfato.,0.7690938711166382
16,16.0,16.0,las poblaciones de la costa no necesitaban aplicar estos métodos de conservación ya que disponían de pescado durante todo el año.,"los pueblos que había junto al mar no necesitaban hacer esto, pues todo el año tenían alimento del mar, o sea pescado.",0.7704330682754517
17,17.0,17.0,en la época del siglo xvii se inventaba el vinagre de arroz y pronto cambiaría la forma de comer el nare-zushi (narezushi).,ello provocaría una revolución en las costumbres alimenticias relacionadas con el pescado.,0.7741906642913818
18,18.0,18.0,"este método de conservación de pescados enteros, hace además que los propios enzimas del pescado generen un potente saborizante denominado inosina monofosfato (imp).",esta forma de hacer duraderos los pescados provoca que las mismas enzimas de dicho alimento suelten un saborizante fuerte que se llama inosina monofosfato.,0.7796844840049744
19,19.0,19.0,"el pescado es un alimento perecedero, es por esta razón por la que en la antigüedad se empleaban diversos métodos simples como el ahumado o el salazón.","﻿uno de los alimentos que se echa a perder es el pescado, por eso hace mucho tiempo se usaban diferentes formas fáciles como ahumar y salazar.",0.7930197715759277
