,Oración 1,Oración 2
0,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,la aptitud para compactarse la diversidad de arroz en japón llamada koshihikari se localiza en la tipología de los arroces glutinos.
1,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.","gracias a las inmigraciones japoneses a otros países el sushi se empezó a realizar en otros países, como estados unidos que fue un país que admitió japoneses para trabajar en la elaboración de líneas ferroviarias."
2,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,"en la actualidad, se utiliza la técnica del cocinero hanaya yohei."
3,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,"en la actualidad, se utiliza la técnica del cocinero hanaya yohei."
4,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.","a lo largo de los años, la preparación del sushi rápido en varios estados del oriente evolucionó en zushi nigiri."
5,esta preparación rápida del sushi es la que se conoce mayoritariamente en la actualidad y su preparación rápida la ha convertido en un elemento de fast food.,"en la actualidad, se utiliza la técnica del cocinero hanaya yohei."
6,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.",hoy en día conocemos esta forma de preparar el sushi rápidamente y la tenemos como una de las comidas del fast food.
7,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,los inmigrantes comenzaron a hacer el sushi en e.u. cuando aceptaron a varias personas de japón para que construyeran trenes y colocaran vías de tren en américa.
8,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,"a lo largo de los años, la preparación del sushi rápido en varios estados del oriente evolucionó en zushi nigiri."
9,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,hoy en día conocemos esta forma de preparar el sushi rápidamente y la tenemos como una de las comidas del fast food.
10,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.","así, en el año de 1910, más de treinta mil japoneses se fueron a américa del norte para hacer trenes y poner vías."
11,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,la aptitud para compactarse la diversidad de arroz en japón llamada koshihikari se localiza en la tipología de los arroces glutinos.
12,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,el sushi sale fuera de japón debido en parte a la emigración de japoneses a eeuu.
13,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,"a lo largo de los años, la preparación del sushi rápido en varios estados del oriente evolucionó en zushi nigiri."
14,esta preparación rápida del sushi es la que se conoce mayoritariamente en la actualidad y su preparación rápida la ha convertido en un elemento de fast food.,la aptitud para compactarse la diversidad de arroz en japón llamada koshihikari se localiza en la tipología de los arroces glutinos.
15,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",en 1910 mas de treinta y cinco mil japoneses llegan a estados unidos para construir líneas ferroviarias.
16,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,"a lo largo de los años, la preparación del sushi rápido en varios estados del oriente evolucionó en zushi nigiri."
