,Oración 1,Oración 2
0,"el moho se dedica a consumir los hidratos de carbono existentes en el arroz debido a la acción de los enzimas, éstos poseen la capacidad de transformar las cadenas complejas de hidratos de carbono presentes en arroz azúcares simples (glucosa), de la misma forma estos enzimas digestivos del propio pescado rompen las proteínas de su carne para obtener los diferentes aminoácidos.","de igual manera, estas proteínas separan las proteínas de la carne del invertebrado, con lo que se extraen distintos aminoácidos."
1,"la forma de conservar el pescado en salazón era aplicable a las poblaciones que vivían a lo largo del río mekong, hoy en día es conocida en japón con el nombre de shiokara, una especie de salsa de pescado (similar al garum romano).","shiokara es el nombre con la que se le denomina en japón, una suerte de mezcla de pescado muy cercana al garum romano."
2,a pesar de todo el sabor del pescado es agradable para el consumo humano (con toques ácidos).,"pese a los dejos de acidez, la impresión que deja el pescado complace el gusto humano."
3,"su preparación posterior, tras sacarlo de las ánforas era simple: se le quitaban las entrañas, se tiraba el arroz y la carne se disponía en piezas para su consumo.","tras su estancia en las ánforas cerradas, se disponía a limpiarlo quitándole las vísceras y los restos de arroz, y cortándolo en trozos para comerlo."
4,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,esto se conoce con el nombre de: nare-zushi (sushi madurado).
5,"durante el período del imperio mongol que se expandió por el territorio chino, esta forma de conservar el pescado quedó parcialmente olvidada, quizás por ser las costumbres mongolas más carnívoras.","por otra parte, es muy probable que las carnívoras costumbres gastronómicas de los mongoles, hayan orillado al olvido esta técnica de conservación del pescado en china durante la invasión sufrida durante el imperio mongol."
6,"una de las referencias escritas más tempranas sobre el uso del sushi en japón data del año 718 como parte de un tratado de leyes denominado yororitsuryo, en el se hace referencia al uso del sushi como forma de pago de impuestos.",al mezclarse el vinagre con el arroz el proceso de fermentar el pescado para obtener los olores y el sabor del nare sushi devino obsoleto.
7,"la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: """"puerta en la bahía"""") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).",hanaya chei fue el coninero que innovó definitivamente la historia del sushi al crear a finales del edo una técnica distinta de preparación que recibió el nombre de nigri-zushi (sushi formado con las manos).
8,esta preparación rápida del sushi es la que se conoce mayoritariamente en la actualidad y su preparación rápida la ha convertido en un elemento de fast food.,"como sabemos, ésta es la versión más popular del sushi, y forma parte de la comida rápida en el mundo."
9,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",la emigración japonesa fue el principal factor que originó la propagación del sushi en el mundo.
10,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,"estados unidos de américa hospedó a muchos ciudadanos japoneses (al rededor de 40 mil hacia el año de 1910), empleados en la construcción de los caminos ferroviarios."
11,el proceso que se empleaba en china era muy novedoso se dejaba enmohecer el arroz con aspergillus oryzae que tiene un aspecto de polvo verde y se metían los pescados enteros en ánforas bien selladas.,una de estas técnicas consiste por ejemplo en el ahumado de los alimentos.
12,"el moho se dedica a consumir los hidratos de carbono existentes en el arroz debido a la acción de los enzimas, éstos poseen la capacidad de transformar las cadenas complejas de hidratos de carbono presentes en arroz azúcares simples (glucosa), de la misma forma estos enzimas digestivos del propio pescado rompen las proteínas de su carne para obtener los diferentes aminoácidos.",los chinos utilizaban un hongo (algo novedoso en la antigüedad) como método de conserva.
13,"este método de conservación de pescados enteros, hace además que los propios enzimas del pescado generen un potente saborizante denominado inosina monofosfato (imp).","en este método, el alimento se guardaba en recipientes bien sellados."
14,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.",este arroz fue descubierto en 1956 y fue obtenido por el cruce de dos especies que dieron por resultado el arroz perfecto para preparar el sushi.
15,"su preparación posterior, tras sacarlo de las ánforas era simple: se le quitaban las entrañas, se tiraba el arroz y la carne se disponía en piezas para su consumo.","después de la fermentación el pescado se sacaba del arroz, se limpiaba muy bien, se cortaba en pedazos y estaba listo para servirse teniendo un gusto ligeramente ácido y bastante apetitoso."
16,a esta forma de sushi se la denomina hoy en día nare-zushi (sushi madurado).,actualmente este sushi madurado se le llama nare-zushi.
17,"es muy posible que poco a poco se dieran cuenta que el arroz del proceso de fermentación era igualmente comestible, pero un sabor ácido y con un fuerte olor a pescado.","con el paso del tiempo el arroz """"descompuesto"""" se consideró también como alimento a pesar de su aroma a pescado bastante pronunciado y su gusto ácido."
18,en japón este plato proliferó bajo el concepto de una nueva forma de conservar el pescado.,"pero el sushi ya había invadido toda la región costera del japón antes de la dominación del imperio mongol, desarrollándose como una manera eficaz de guardar el pescado."
19,en la época del siglo xvii se inventaba el vinagre de arroz y pronto cambiaría la forma de comer el nare-zushi (narezushi).,con la aparición del vinagre de arroz en el siglo xvii se modificó la manera de consumir el nare-zushi.
20,"una de las referencias escritas más tempranas sobre el uso del sushi en japón data del año 718 como parte de un tratado de leyes denominado yororitsuryo, en el se hace referencia al uso del sushi como forma de pago de impuestos.","documentos incluídos en el tratado de yororitsuryo con fecha del año 718, hablan del sushi como una manera de retribuir los impuestos en japón."
21,este tipo de sushi se hizo muy popular y pronto se vendía en puestos callejeros en las zonas más humildes de osaka.,"este pescado crudo con arroz llamado haya-zushi porque se realizaba fácilmente y en poco tiempo, se divulgó rápidamente en los barrios pobres de osaka donde se consumía enormemente."
22,"la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: """"puerta en la bahía"""") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).","el haya-zushi se desarrolló en la época edo en la vecindad de lo que hoy es tokio y entre 1799-1858, dentro de la cual hanaya yohei inventó el sushi echo con las manos de nombre nigiri-zushi."
23,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,en 1910 miles de japoneses inmigraron a los eeuu para incorporarse en la industria de levantamiento de vías del tren.
24,el concepto del sushi empezó a ser conocido en california.,así el sushi se dio a conocer en california.
25,"el pescado es un alimento perecedero, es por esta razón por la que en la antigüedad se empleaban diversos métodos simples como el ahumado o el salazón.","algunas de estas técnicas consistían en el ahumado, salazón o escabechado."
26,"el moho se dedica a consumir los hidratos de carbono existentes en el arroz debido a la acción de los enzimas, éstos poseen la capacidad de transformar las cadenas complejas de hidratos de carbono presentes en arroz azúcares simples (glucosa), de la misma forma estos enzimas digestivos del propio pescado rompen las proteínas de su carne para obtener los diferentes aminoácidos.","hoy en día, el salazón se conoce en japón como shiokara y se ha creado una salsa en base a ella."
27,"este método de conservación de pescados enteros, hace además que los propios enzimas del pescado generen un potente saborizante denominado inosina monofosfato (imp).","en china, en cambio, se utilizó una técnica más novedosa a base de moho."
28,"la forma de conservar el pescado en salazón era aplicable a las poblaciones que vivían a lo largo del río mekong, hoy en día es conocida en japón con el nombre de shiokara, una especie de salsa de pescado (similar al garum romano).",esto permitía que los propios enzimas del pescado generaran un potente saborizante denominado inosina monofosfato (imp).
29,el resultado era un pescado conservado en una pieza y con un olor desagradable.,esto proporcionaba al pescado un sabor y olor muy fuertes y un poco desagradables.
30,a pesar de todo el sabor del pescado es agradable para el consumo humano (con toques ácidos).,a pesar de ello el sabor del pescado es agradable para las personas.
31,"es muy posible que poco a poco se dieran cuenta que el arroz del proceso de fermentación era igualmente comestible, pero un sabor ácido y con un fuerte olor a pescado.","después de sacarlo de las ánforas se le quitan las tripas y el arroz, y la carne estaba lista para consumirse."
32,"durante el período del imperio mongol que se expandió por el territorio chino, esta forma de conservar el pescado quedó parcialmente olvidada, quizás por ser las costumbres mongolas más carnívoras.","en el reino mongol prácticamente ninguna técnica de conservación de sushi se desarrollo, ya que ellos eran partidarios más por la carne."
33,pero anterior al período mongol el sushi se había expandido por la zona del mar del japón.,antes de los mongoles el sushi ya se había expandido por varias zonas costeras japonesas.
34,las poblaciones de la costa no necesitaban aplicar estos métodos de conservación ya que disponían de pescado durante todo el año.,"en cambio, en el siglo xvii se desarrolló en japón una nueva técnica de conservación del pescado, una basada en vinagre de arroz, la cual provocaría una revolución en las costumbres alimenticias relacionadas con el pescado."
35,"una de las referencias escritas más tempranas sobre el uso del sushi en japón data del año 718 como parte de un tratado de leyes denominado yororitsuryo, en el se hace referencia al uso del sushi como forma de pago de impuestos.",esta técnica de vinagre consistía en mezclar el vinagre en arroz recién cocido.
