,Oración 1,Oración 2
0,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,"ej japón usan un tipo de arroz que se llama koshihikari, cuya mayor característica es que se compacta; es decir que es arroz glutinoso."
1,"la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).","fue evolucionando la elaboración del hay-zushi a lo largo del periodo edo, lo que ahora es tokio y en japonés significa “puerta en la bahía”, y finalmente el chef hanaya yohei (1779-1858) invento un nuevo nombre al que le llamo nigiri-zushi que significa sushi formado con las manos."
2,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,ahora para hacer el sushi se intenta enriquecer las distintas variedades del arroz.
3,"la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).","a lo largo de los años, la preparación del sushi rápido en varios estados del oriente evolucionó en zushi nigiri."
4,esta preparación rápida del sushi es la que se conoce mayoritariamente en la actualidad y su preparación rápida la ha convertido en un elemento de fast food.,"es decir sushi hecho a mano, que se preparaba casi igual que hoy en día en algún restaurante de comida rápida."
5,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,"hoy en día, tratamos de que loa arroces que se usan sean mejores."
6,"la preparación del haya-zushi evolucionó durante el período edo en las cercanías de edo (la actual tokio y que significa en japonés: ""puerta en la bahía"") y al final de este período el cocinero hanaya yohei (1799-1858) creó un nuevo estilo denominado nigiri-zushi (sushi formado con las manos).","en la actualidad, se utiliza la técnica del cocinero hanaya yohei."
7,esta preparación rápida del sushi es la que se conoce mayoritariamente en la actualidad y su preparación rápida la ha convertido en un elemento de fast food.,"gracias a las inmigraciones japoneses a otros países el sushi se empezó a realizar en otros países, como estados unidos que fue un país que admitió japoneses para trabajar en la elaboración de líneas ferroviarias."
8,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.","ese arroz es el mejor para hacer sushi, sin embargo apenas hace una años se utiliza para cocinarlo, esto desde 1956, cuando se combinaron las cepas del nourin 1 y nourin 22 que son cepas del arroz."
9,el concepto del sushi empezó a ser conocido en california.,el sushi apareció en la vida californiana.
10,el concepto del sushi empezó a ser conocido en california.,el sushi se empezó a conocer en california.
11,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,actualmente se desea mejorar las variedades de arroz para el sushi.
12,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.",en 1956 se creó el arroz perfecto para hacer el sushi por la mezcla de dos cepas distintas.
13,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,en 1910 cerca de 40 mil japoneses se van a eeuu para construir vías ferroviarias.
14,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.",en 1956 se creó el arroz perfecto para hacer el sushi por la mezcla de dos cepas distintas de nourin no.1 y nourin no. 22.
15,esta preparación rápida del sushi es la que se conoce mayoritariamente en la actualidad y su preparación rápida la ha convertido en un elemento de fast food.,hoy en día conocemos esta forma de preparar el sushi rápidamente y la tenemos como una de las comidas del fast food.
16,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,en japón se utiliza un tipo de arroz glutinoso conocido como koshihikari por su capacidad para compactarse.
17,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,"así, en el año de 1910, más de treinta mil japoneses se fueron a américa del norte para hacer trenes y poner vías."
18,esta preparación rápida del sushi es la que se conoce mayoritariamente en la actualidad y su preparación rápida la ha convertido en un elemento de fast food.,la elaboración del sushi rápido es la que se conoce mas como comida-rápida o fast- food en el presente.
19,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,en 1910 mas de treinta y cinco mil japoneses llegan a estados unidos para construir líneas ferroviarias.
20,el concepto del sushi empezó a ser conocido en california.,el sushi empezó a conocerse en california.
21,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.","este arroz es excelente para elaborar sushi, aunque apenas fue utilizado al ser descubierto en 1956, por la mezcla de dos cepas diferentes."
22,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",el sushi sale fuera de japón debido en parte a la emigración de japoneses a eeuu.
23,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.","gracias a las inmigraciones japonesas a otros países el sushi se empezó a realizar en otros países, como estados unidos que fue un país que admitió japoneses para trabajar en la elaboración de líneas ferroviarias."
24,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",los inmigrantes comenzaron a hacer el sushi en e.u. cuando aceptaron a varias personas de japón para que construyeran trenes y colocaran vías de tren en américa.
25,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,la aptitud para compactarse la diversidad de arroz en japón llamada koshihikari se localiza en la tipología de los arroces glutinos.
26,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.",uno debe tener mucha higiene al cocinar como lo es lavarse las manos antes de hacer algo.
27,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.","la higiene más fundamental tiene que estar presente siempre, higienizarse antes de manipularla no es la exepción."
28,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.",las experiencias en restaurantes son cambiantes y lo que realmente los hace atractivos son que los clientes esperan ser sorprendidos y pasar un buen rato de risas.
29,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.","la higiene debe prevalecer sin importar lo buena que sea la técnica de cocción, las manos siempre deben estar limpias a la hora de tocar la carne."
30,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.",considero que el cambio se nota cuando el deseo de salir a comer se ve motivado por la idea de ir a reír y ser asombrado en algún restaurante.
31,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","hoy en día cuando se asiste a un restaurante se tiene la expectativa de que a uno le roben inesperadamente el aliento, soltar carcajada, eso es el principal punto de comer en los exteriores hogar. considero que estas cuestiones son la vuelta de tuerca."
32,"la popularidad de la comida preparada con la técnica sous-vide, en la que se usan bolsas de plástico cerradas al vació para cocinar lentamente en agua, es uno de los resultados de esa obsesión de encontrar la temperatura perfecta para preparar los platos más delicados.","como el sous vide, en el cual se utilizan bolsas cerradas al vacío calentadas lento en agua para tener la temperatura perfecta al momento de cocinar platillos delicados."
33,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.",siempre se debe tener una buena higiene y lavarse las manos antes de tocar un pedazo de carne o cualquier comida.
34,"a pesar de que la técnica del baño en agua alguna vez fue considerada por los chefs como un engaño, hoy en día es de uso tan generalizado que está llegando a los hogares.","esta es una técnica que se ha generalizado llegando hasta los hogares, sin importar que algunos chefs consideraron que no funcionaba."
35,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","actualmente, ser sorprendido y reír un rato es parte del atractivo de comer en un restaurante, esta puede ser la razón del cambio."
36,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.",el cambio en la actualidad consiste en que parte del atractivo de salir a comer es la expectativa de que te sorprendan y reírte un rato.
37,"a pesar de la aventura y las delicias, varios cocineros consideran a la gastronomía molecular no tanto como una revolución sino más bien una moda pasajera.","muchos cocineros opinan que, por muy curiosa que sea , la cocina molecular es solo una moda pasajera."
38,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.","debe tenerse toda la higiene necesaria, principalmente lavarse las manos."
39,"aunque sous vide es clasificado como técnica de cocina molecular, el método es muy simple y, como con la tradicional, lo importante es el tiempo y la temperatura.","en el procedimiento sous-vide, la duración y la temperatura son igual de relevantes que en las técnicas clásicas, a pesar de su categorización como perteneciente a la cocina molecular, esta no es una técnica compleja."
40,"sous vide es una forma perfectamente segura de cocinar, pero un pedazo de carne mal preparado será malo no importa cómo se cocine.","sous vide es muy seguro a la hora de cocinar, sin embargo cuando la carne se prepara mal, su sabor será malo sin importar la forma en la que se cocine."
41,"sous vide es una forma perfectamente segura de cocinar, pero un pedazo de carne mal preparado será malo no importa cómo se cocine.","esta técnica es muy segura, pero debe ponerse especial atención al punto de cocción de la carne, la carne mal cocinada siempre resulta mala."
42,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.",el frotamiento repetitivo de las manos con jabón para su posterior enjuague con agua es seguir las normativas de higiene y esto es muy importante antes de entrar en contacto.
43,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","hogaño, al ir a un comedor, las expectativas de reír por momentos y de llevarte una sorpresa son muy altas, por eso, la idea de comer fuera de casa es bastante encantadora. posiblemente, eso es lo diferente."
44,"a pesar de que la técnica del baño en agua alguna vez fue considerada por los chefs como un engaño, hoy en día es de uso tan generalizado que está llegando a los hogares.","aunque el método del baño en agua fue considerado un fraude por los chefs, recientemente se ha popularizado e incluso se comienza a utilizar en las casas."
45,"la popularidad de la comida preparada con la técnica sous-vide, en la que se usan bolsas de plástico cerradas al vació para cocinar lentamente en agua, es uno de los resultados de esa obsesión de encontrar la temperatura perfecta para preparar los platos más delicados.",el sous-vide alcanzó gran popularidad por los resultados que se obtienen con ella a partir del uso de temperaturas ideales usando bolsas plásticas llenas de agua cerradas al vacío para cocinar paulatinamente.
46,"aunque sous vide es clasificado como técnica de cocina molecular, el método es muy simple y, como con la tradicional, lo importante es el tiempo y la temperatura.","la serie de pasos simples y tradicionales que se encuentran en relacionados con el tiempo y la temperatura son muy importantes, sous vide las sigue, eso no impide que sea clasificado como gastronomía molecular."
47,"a pesar de que la técnica del baño en agua alguna vez fue considerada por los chefs como un engaño, hoy en día es de uso tan generalizado que está llegando a los hogares.","si bien la práctica del baño en agua ha sido estimada por algunos cocineros como fraudulenta, en la actualidad su uso mayoritario ha permeado en los hogares."
48,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","en mi opinión, el cambio está en la atracción de comer afuera, ir a un restaurante, esperar ser sorprendido y reír un rato."
49,"a pesar de la aventura y las delicias, varios cocineros consideran a la gastronomía molecular no tanto como una revolución sino más bien una moda pasajera.","muchos creen que la gastronomía molecular no es más que una moda y no una revolución, aunque haya traído comida deliciosa."
50,"sous vide es una forma perfectamente segura de cocinar, pero un pedazo de carne mal preparado será malo no importa cómo se cocine.","esta técnica es bastante buena y segura, sin embargo cualquier alimento (sobre todo de origen animal) si está mal cocinado puede causar daño."
51,"aunque sous vide es clasificado como técnica de cocina molecular, el método es muy simple y, como con la tradicional, lo importante es el tiempo y la temperatura.","la temperatura y el tiempo son lo más relevante tanto en la cocina molecular como en la tradicional, incluso en técnicas como el sous vide."
52,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.","la higiene debe estar asegurada, como el valado de manos antes de cocinar."
53,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.","siempre se deben seguir las reglas básicas de higiene, como lo es el lavado de manos antes de manipular cualquier alimento."
54,"la popularidad de la comida preparada con la técnica sous-vide, en la que se usan bolsas de plástico cerradas al vació para cocinar lentamente en agua, es uno de los resultados de esa obsesión de encontrar la temperatura perfecta para preparar los platos más delicados.","los alimentos más delicados requieren temperaturas exactas para su elaboración, para ello se usa el popular sous-vide que por medio de bolsas plásticas cerradas herméticamente sin aire en su interior se sumergen en agua caliente."
55,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","hoy en día, cuando comes en algún lugar prestigioso deseas ser impresionado, deseas sonreir un momento pues eso es lo que resulta más llamativo de no comer en casa. en mi opinión eso hace la diferencia."
56,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.","la metodología esencial de higiene debe observarse, incluido el perfecto lavado de manos antes de tocarla."
57,"a pesar de la aventura y las delicias, varios cocineros consideran a la gastronomía molecular no tanto como una revolución sino más bien una moda pasajera.",muchos cocineros creen que la cocina molecular es una moda pasajera más que una revolución.
58,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","actualmente al ir a un restaurante se esperan sorpresas y risas, lo cual forma parte de atractivo de como fuera. en eso consiste el cambio."
59,"la popularidad de la comida preparada con la técnica sous-vide, en la que se usan bolsas de plástico cerradas al vació para cocinar lentamente en agua, es uno de los resultados de esa obsesión de encontrar la temperatura perfecta para preparar los platos más delicados.","la fama de los alimentos hechos con el método al vacío, para el que se necesitan sacos de materiales flexibles aisladas al vacío para cocer paulatinamente en agua, es un producto de esa fijación por determinar el grado de calor ideal para hacer los platillos más finos."
60,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.","elementos esenciales de higiene son muy importantes, un ejemplo de ellos es el lavado de manos antes de tocar los alimentos."
61,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.","las normas básicas de higiene deben seguirse al pie de la letra, incluyendo la limpieza en manos antes de tocarla."
62,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.","todos los principios higiénicos se mantienen, entre ellos lavarse las manos antes de tocar la comida."
63,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","el auténtico cambio es este: ir a un restaurante y aguardar a ser sorprendido, a reir por un rato, esto hace atractivo el salir a comer fuera."
64,"sous vide es una forma perfectamente segura de cocinar, pero un pedazo de carne mal preparado será malo no importa cómo se cocine.","una fracción de filete preparado de mala forma, será malo sin importar como se cocine y sous vide es una forma 100% segura de cocinar."
65,"a pesar de que la técnica del baño en agua alguna vez fue considerada por los chefs como un engaño, hoy en día es de uso tan generalizado que está llegando a los hogares.","para los chefs la cocción con la técnica del baño en agua era mal vista, pero en la actualidad se usa cotidianamente."
66,"aunque sous vide es clasificado como técnica de cocina molecular, el método es muy simple y, como con la tradicional, lo importante es el tiempo y la temperatura.","lo tradicional indica que tiempo y temperatura son importante, el sous vide, a pedar de ser simple y catalogado como técnica de cocina molecular, no es ajeno a ello."
67,"la popularidad de la comida preparada con la técnica sous-vide, en la que se usan bolsas de plástico cerradas al vació para cocinar lentamente en agua, es uno de los resultados de esa obsesión de encontrar la temperatura perfecta para preparar los platos más delicados.","sous-vide, es una técnica de cocción lenta en agua de alimentos envasados al vacío, técnica dónde se puede controlar una temperatura exacta que es crucial en alimentos delicados, lo que la hace una técnica muy popular."
68,"a pesar de que la técnica del baño en agua alguna vez fue considerada por los chefs como un engaño, hoy en día es de uso tan generalizado que está llegando a los hogares.","para los chefs, este método del agua era tomado como una mentira, no obstante, hoy es usado incluso en cocinas hogareñas."
69,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","actualmente, al ir a un restaurante, confías en que vas a divertirte y sorprenderte, eso es atrayente al comer fuera de casa. he ahí el cambio."
70,"sous vide es una forma perfectamente segura de cocinar, pero un pedazo de carne mal preparado será malo no importa cómo se cocine.","a pesar de que el sous vide es una forma bastante segura de cocinar, un pedazo de carne mal preparado seguirá siendo malo sin importar la forma de cocinarlo."
71,"si bien algunas técnicas de cocina molecular, como la instilación al vacío y la centrifugación requieren una fuerte inversión e instrumentos especializados, también le han ayudado a los expertos a descubrir cosas como las temperaturas ideales en la cual cocinar nuestra comida favorita.","el descubrimiento de temperaturas adecuadas para cocer nuestra comida preferida es uno de las aportaciones de las técnicas de la cocina molecular, las cuales requieren de una inversión grande e instrumentos adecuados, como la instilación al vacío y la centrifugación."
72,"a pesar de la aventura y las delicias, varios cocineros consideran a la gastronomía molecular no tanto como una revolución sino más bien una moda pasajera.","aunque la cocina molecular es atrevida y novedosa, algunos chefs la consideran sólo una moda, no algo que haya llegado para quedarse."
73,"sous vide es una forma perfectamente segura de cocinar, pero un pedazo de carne mal preparado será malo no importa cómo se cocine.","aunque el sous vide permite cocinar de un modo totalmente seguro, la preparación mala de un pedazo de carne no hará que deje de ser malo, independientemente de cómo haya sido cocido."
74,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.","las premisas básicas y principales de higiene no han de ser sobrepasadas, incluido el limpiarse las manos antes de establecer el contacto con la comida."
75,"aunque sous vide es clasificado como técnica de cocina molecular, el método es muy simple y, como con la tradicional, lo importante es el tiempo y la temperatura.",el tiempo y la temperatura de la cocina tradicional no dejan de ser importantes en la actual cocina molecular lo que incluye el método sous vide aunque sea un método simple.
76,"aunque sous vide es clasificado como técnica de cocina molecular, el método es muy simple y, como con la tradicional, lo importante es el tiempo y la temperatura.","si bien, sous vide se denomina como método de cocina molecular, el procedimiento es en extremo sencillo y, a la par que su referente clásico, el tiempo y temperatura son lo principal."
77,"sous vide es una forma perfectamente segura de cocinar, pero un pedazo de carne mal preparado será malo no importa cómo se cocine.","a pesar de ser una buena técnica, si un alimento está mal cocido, como sería de esperar, sabrá mal."
78,"a pesar de que la técnica del baño en agua alguna vez fue considerada por los chefs como un engaño, hoy en día es de uso tan generalizado que está llegando a los hogares.","actualmente, bañar los alimentos en agua es tan popular que se emplea en las casas particulares aún cuando varios cocineros creyeron que este método, en ocasiones pasadas,  era una farsa."
79,"sous vide es una forma perfectamente segura de cocinar, pero un pedazo de carne mal preparado será malo no importa cómo se cocine.","sous vide resulta una forma completamente segura de cocinar. a pesar de ello, un trozo de carne mal preparado será malo sin importar la manera en que se cocine."
80,"a pesar de que la técnica del baño en agua alguna vez fue considerada por los chefs como un engaño, hoy en día es de uso tan generalizado que está llegando a los hogares.","otrora, el método del baño en agua fue considerada por los cocineros expertos como un engaño. hoy, su uso es muy común en los hogares."
