,Oración 1,Oración 2,Similitud
0,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,en algunas partes de europa han sido adoptadas una extensa variedad de platillos en pinchos originarios de oriente medio.,0.27427786588668823
1,"su nombre proviene de los persas, los cuales empleaban este alimento para dar de comer a sus reyes y significa ""carne a la parrilla"".",esto no es lo único que puede cambiar ya que el pan puede variar dependiendo el chef que cocine esta comida.,0.33156511187553406
2,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,es asado en una parrilla y consiste en una vara de metal o de madera con pequeñas secciones de varios tipos de o pescado (especialmente pez espada) con o sin vegetales.,0.33255332708358765
3,actualmente se consume a diario en todos los hogares iraníes.,en españa es muy común encontrar esto.,0.3581181466579437
4,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,"hay una amplia variedad de platillos en pinchos y que han sido apropiadas por distintas regiones de europa y provienen del suroeste de asia,",0.36055755615234375
5,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,hay dos tipos de kebab y son diferentes debido a que vienen de diferentes países.,0.3777443468570709
6,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,"existen una gran variedad de comidas en pinchos en el medio oriente, y estas han sido adoptadas en otras regiones de europa.",0.37973764538764954
7,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,las salsas son uno de los principales llamativos del platillo y también ayudan al protagonismo mundial del platillo.,0.3812040686607361
8,"en los palillos de madera, los pedacitos de carne son más pequeños. este plato se come acompañado del pan plano turco ""pide"".",esto no es lo único que puede cambiar ya que el pan puede variar dependiendo el chef que cocine esta comida.,0.38805702328681946
9,existen dos tipos de kebab y sus diferencias se originan de acuerdo al país en el que se cocine.,en españa es muy común encontrar esto.,0.39190298318862915
10,"su nombre proviene de los persas, los cuales empleaban este alimento para dar de comer a sus reyes y significa ""carne a la parrilla"".",esto no es lo único que puede cambiar ya que dependiendo de quién cocine el platillo el pan puede ser diferente.,0.3922964036464691
11,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,actualmente se come todos los días en cada uno de los hogares iraníes.,0.40546128153800964
12,"consiste en un palito de metal o madera con pequeños bloques de varios tipos de carne o pescado (especialmente pez espada) con o sin vegetales, que es asado en una parrilla.",hoy en día se consume todos los días en todos los hogares iraníes.,0.4072912633419037
13,actualmente se consume a diario en todos los hogares iraníes.,"el kebab, sin embargo, es distinto al keppe, esta última es una albóndiga hecha de carnes crudas picadas o molidas.",0.4099048972129822
14,"su nombre proviene de los persas, los cuales empleaban este alimento para dar de comer a sus reyes y significa ""carne a la parrilla"".",en españa es muy común encontrar esto.,0.4143518805503845
15,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,hoy en día se consume todos los días en todos los hogares iraníes.,0.41476619243621826
16,"en el medio oriente, hay una amplia variedad de comidas en pinchos y que han sido adoptadas por otras partes de europa.",esto no es lo único que puede cambiar ya que el pan puede variar dependiendo el chef que cocine esta comida.,0.4180184304714203
17,actualmente se consume a diario en todos los hogares iraníes.,en españa es muy común encontrar esta última forma.,0.41870996356010437
18,actualmente se consume a diario en todos los hogares iraníes.,esto no es lo único que puede cambiar ya que el pan puede variar dependiendo el chef que cocine esta comida.,0.42107316851615906
19,"consiste en un palito de metal o madera con pequeños bloques de varios tipos de carne o pescado (especialmente pez espada) con o sin vegetales, que es asado en una parrilla.",esto no es lo único que puede cambiar ya que el pan puede variar dependiendo el chef que cocine esta comida.,0.42219287157058716
20,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,en la actualidad se consume a diario en todos los hogares iraníes.,0.42666223645210266
21,"el shish significa ""seis"" en persa y es bastante reconocido en estados unidos; suele servirse con arroz y otras guarniciones.",esto no es lo único que puede cambiar ya que el pan puede variar dependiendo el chef que cocine esta comida.,0.42835915088653564
22,actualmente se consume a diario en todos los hogares iraníes.,esto no es lo único que puede cambiar ya que dependiendo de quién cocine el platillo el pan puede ser diferente.,0.4389447271823883
23,existen dos tipos de kebab y sus diferencias se originan de acuerdo al país en el que se cocine.,en españa es muy común encontrar esta última forma.,0.44462236762046814
24,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,"los persas empleaban este alimento para dar de comer a sus reyes y su nombre significa ""carne a la parrilla"".",0.4480361342430115
25,actualmente se consume a diario en todos los hogares iraníes.,es frecuente encontrar esta última forma en españa.,0.44833096861839294
26,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,en medio oriente existe una gran cantidad de diferentes comidas servidas en palillos de madera que se han adoptado en otros países europeos.,0.45016056299209595
27,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,hay dos clases de kebab y se distinguen de acuerdo al país de origen en donde se prepare.,0.450245201587677
28,actualmente se consume a diario en todos los hogares iraníes.,"pero el tronco es cocinado en vertical para ahorrar espacio y no es una pieza única de carne, sino una mezcla.",0.4523894786834717
29,"en los palillos de madera, los pedacitos de carne son más pequeños. este plato se come acompañado del pan plano turco ""pide"".",esto no es lo único que puede cambiar ya que dependiendo de quién cocine el platillo el pan puede ser diferente.,0.45302072167396545
30,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,"en medio oriente, existe una gran diversidad de comidas en pinchos y que han sido adoptadas por países del continente europeo.",0.45440831780433655
31,"el shish significa ""seis"" en persa y es bastante reconocido en estados unidos; suele servirse con arroz y otras guarniciones.","el calor lo cocina como si fuera una parrilla o barbacoa, la carne se cocina lentamente para que se caliente homogéneamente.",0.4546477794647217
32,actualmente se consume a diario en todos los hogares iraníes.,es asado en una parrilla y consiste en una vara de metal o de madera con pequeñas secciones de varios tipos de o pescado (especialmente pez espada) con o sin vegetales.,0.45773938298225403
33,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,este utensilio nombrado en numerosas ocasiones básicamente es un palito de metal o madera con pequeños pedazos de una gran variedad de carne o pescado (especialmente pez espada) puede ir acompañado de vegetales asados en una parrilla.,0.45781561732292175
34,"en irán, hay muchas variaciones del mismo platillo, y una de las últimas tendencias es cocinarlo también con pescado o pavo.",hoy en día se consume todos los días en todos los hogares iraníes.,0.4587959051132202
35,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,"en el medio oriente, hay una amplia variedad de platillos en pinchos y que han sido acogidos por otras partes de europa.",0.46364539861679077
36,actualmente se consume a diario en todos los hogares iraníes.,"consiste en un palo pequeño de madera o metal con bloquecitos de varios tipos de pescado (típicamente pez espada) o carne con o sin vegetales, que es asado en una parrilla.",0.4662662148475647
37,todo se coloca en una vara de metal en una hornilla especial para este tipo de comida.,esto no es lo único que puede cambiar ya que el pan puede variar dependiendo el chef que cocine esta comida.,0.4675343334674835
38,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,"el shish (del persa “seis”), se sirve con arroz y otras guarniciones y es muy popular en estados unidos.",0.4685235917568207
39,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,"la otra variación de kebab radica en un tronco, el cual se prepara con sucesiones de carne picada y marinada en forma de pequeños bollos y láminas de carne.",0.4695173501968384
40,"el otro tipo de kebab consiste en un tronco, el cual es elaborado con alternaciones de carne picada y marinada en forma de bollitos y láminas de carne.",esto no es lo único que puede cambiar ya que el pan puede variar dependiendo el chef que cocine esta comida.,0.47094830870628357
41,actualmente se consume a diario en todos los hogares iraníes.,este utensilio nombrado en numerosas ocasiones básicamente es un palito de metal o madera con pequeños pedazos de una gran variedad de carne o pescado (especialmente pez espada) puede ir acompañado de vegetales asados en una parrilla.,0.4712081849575043
42,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,todo se pone en una vara de metal en una hornilla especial para este tipo de platillo.,0.4726639986038208
43,esto no es lo único que puede variar ya que el pan puede ser diferente con respecto a quién prepare el platillo.,"consiste en un palo pequeño de madera o metal con bloquecitos de varios tipos de pescado (típicamente pez espada) o carne con o sin vegetales, que es asado en una parrilla.",0.4730997681617737
44,existen dos tipos de kebab y sus diferencias se originan de acuerdo al país en el que se cocine.,es frecuente encontrar esta última forma en españa.,0.4735279977321625
45,"en los palillos de madera, los pedacitos de carne son más pequeños. este plato se come acompañado del pan plano turco ""pide"".",el pan puede ser diferente con relación a quién prepare el platillo. cabe aclarar que esto no es lo único que puede variar.,0.47443437576293945
46,actualmente se consume a diario en todos los hogares iraníes.,"además, el pan también puede ser distinto dependiendo de quién cocine el platillo",0.47532662749290466
