,Oración 1,Oración 2,Similitud
0,la representación de los altares de muertos ha cambiado a través de los siglos desde la introducción de la religión católica en el méxico prehispánico.,"las ofrendas no tienen solo dulces, si no también comida que le gustaba al fallecido.",0.1062813252210617
1,los altares de dos niveles son una representación de la división del cielo y la tierra.,"las ofrendas no tienen solo dulces, si no también comida que le gustaba al fallecido.",0.14656667411327362
2,la construcción y representación del altar de muertos varía según la idiosincrasia y los elementos disponibles en una determinada región.,"las ofrendas no tienen solo dulces, si no también comida que le gustaba al fallecido.",0.18867264688014984
3,"una característica es la instalación de altares domésticos en honor de los muertos de la familia donde se ofrecen alimentos, flores y objetos de uso cotidiano del difunto.","las ofrendas no tienen solo dulces, si no también comida que le gustaba al fallecido.",0.2395891696214676
4,méxico es un país rico en tradiciones y costumbres presentes en cada día del año.,"las ofrendas no tienen solo dulces, si no también comida que le gustaba al fallecido.",0.279371976852417
5,el pan de muerto también forma parte de la ofrenda hacia los muertos.,"las ofrendas no tienen solo dulces, si no también comida que le gustaba al fallecido.",0.2857779562473297
6,la representación de los altares de muertos ha cambiado a través de los siglos desde la introducción de la religión católica en el méxico prehispánico.,¿la comida ya no sabe a nada? ¿como consumen las almas el sabor? ¿como guardan el alma y la comida?,0.2877010107040405
7,"los altares de tres niveles muestran el cielo, la tierra y el inframundo.","las ofrendas no tienen solo dulces, si no también comida que le gustaba al fallecido.",0.29219385981559753
8,"la tortilla, los platos de mole y pozole son frecuentes en la cocina criolla y, por tanto, en los altares.","las ofrendas no tienen solo dulces, si no también comida que le gustaba al fallecido.",0.2988530993461609
9,¿los alimentos pierden su sabor? ¿cómo se llevan los muertos el sabor? ¿cómo albergan su alma y la de los alimentos?,en mexico hay fiestas cada día del año.,0.30777502059936523
10,los altares de dos niveles son una representación de la división del cielo y la tierra.,¿la comida ya no sabe a nada? ¿como consumen las almas el sabor? ¿como guardan el alma y la comida?,0.3105253279209137
11,"con esta tradición, se busca rendir tributo a los antepasados familiares, a los difuntos cercanos o a personajes importantes.",algo que también es elemento de un altar es el pan de muerto.,0.3120005428791046
12,"con esta tradición, se busca rendir tributo a los antepasados familiares, a los difuntos cercanos o a personajes importantes.",el día de muertos es internacionalmente conocido.,0.3126542568206787
13,"el altar de muertos es una construcción simbólica resultado del sincretismo de las ideologías prehispánicas, su cosmovisión y creencias religiosas traídas por conquistadores.","las ofrendas no tienen solo dulces, si no también comida que le gustaba al fallecido.",0.3194119930267334
14,la construcción y representación del altar de muertos varía según la idiosincrasia y los elementos disponibles en una determinada región.,¿la comida ya no sabe a nada? ¿como consumen las almas el sabor? ¿como guardan el alma y la comida?,0.32905837893486023
15,"el dulce no es lo único comestible en una ofrenda, ya que también se pone comida, la cual debe ser del agrado del fallecido.",las ofrendas de 2 pisos simbolizan la segmentación entre cielo y tierra.,0.34047606587409973
16,¿los alimentos pierden su sabor? ¿cómo se llevan los muertos el sabor? ¿cómo albergan su alma y la de los alimentos?,el día de muertos es internacionalmente conocido.,0.34651172161102295
17,"con esta tradición, se busca rendir tributo a los antepasados familiares, a los difuntos cercanos o a personajes importantes.",en mexico hay fiestas cada día del año.,0.35018396377563477
18,"una característica es la instalación de altares domésticos en honor de los muertos de la familia donde se ofrecen alimentos, flores y objetos de uso cotidiano del difunto.",¿la comida ya no sabe a nada? ¿como consumen las almas el sabor? ¿como guardan el alma y la comida?,0.3505045175552368
19,en los ritos funerarios de estas civilizaciones era común dejar la sepultura de objetos de uso cotidiano como herramientas de oficio para ayudar al difunto en su travesía al otro mundo.,"las ofrendas no tienen solo dulces, si no también comida que le gustaba al fallecido.",0.35077139735221863
20,méxico es un país rico en tradiciones y costumbres presentes en cada día del año.,"estos altares buscan rendir tributo a los antepasados, a personas cercanas o a celebridades.",0.35094553232192993
21,¿los alimentos pierden su sabor? ¿cómo se llevan los muertos el sabor? ¿cómo albergan su alma y la de los alimentos?,el territorio mexicano es abundante en anuales prácticas populares.,0.3579065203666687
22,otras bebidas como el tequila son servidas en envases de barro para mantener el tradicionalismo. puede incluirse cualquier bebida del gusto del difunto.,"las ofrendas no tienen solo dulces, si no también comida que le gustaba al fallecido.",0.35969942808151245
23,una de las tradiciones más reconocidas es el día de muertos el cual ya un referente internacional.,"estos altares buscan rendir tributo a los antepasados, a personas cercanas o a celebridades.",0.36146411299705505
24,méxico es un país rico en tradiciones y costumbres presentes en cada día del año.,¿la comida ya no sabe a nada? ¿como consumen las almas el sabor? ¿como guardan el alma y la comida?,0.3619486391544342
25,la representación de los altares de muertos ha cambiado a través de los siglos desde la introducción de la religión católica en el méxico prehispánico.,"no sólo los dulces de un altar se comen, pues también se colocan alimentos que le gustaban al muerto.",0.36334529519081116
26,"la tortilla, los platos de mole y pozole son frecuentes en la cocina criolla y, por tanto, en los altares.",¿la comida ya no sabe a nada? ¿como consumen las almas el sabor? ¿como guardan el alma y la comida?,0.36451414227485657
27,"el dulce no es lo único comestible en una ofrenda, ya que también se pone comida, la cual debe ser del agrado del fallecido.","estos altares buscan rendir tributo a los antepasados, a personas cercanas o a celebridades.",0.36831313371658325
28,las flores fungen como ornato en todo altar y sepulcro y son un símbolo de bienvenida.,"las ofrendas no tienen solo dulces, si no también comida que le gustaba al fallecido.",0.3719153106212616
29,"los altares de tres niveles muestran el cielo, la tierra y el inframundo.",¿la comida ya no sabe a nada? ¿como consumen las almas el sabor? ¿como guardan el alma y la comida?,0.3735540807247162
30,los altares de dos niveles son una representación de la división del cielo y la tierra.,"no sólo los dulces de un altar se comen, pues también se colocan alimentos que le gustaban al muerto.",0.37400543689727783
31,méxico es un país rico en tradiciones y costumbres presentes en cada día del año.,¿los alimentos mantienen su sabor? ¿cómo los muertos sienten el sabor? ¿cómo alojan su alma y la de los alimentos?,0.3820057511329651
32,¿los alimentos pierden su sabor? ¿cómo se llevan los muertos el sabor? ¿cómo albergan su alma y la de los alimentos?,las ofrendas de 2 pisos simbolizan la segmentación entre cielo y tierra.,0.38783979415893555
33,el evento está lleno de color y misterio en donde cantos y rezos acompañan al espíritu a degustar la comida.,"las ofrendas no tienen solo dulces, si no también comida que le gustaba al fallecido.",0.3901674151420593
34,"con esta tradición, se busca rendir tributo a los antepasados familiares, a los difuntos cercanos o a personajes importantes.",el territorio mexicano es abundante en anuales prácticas populares.,0.3910966217517853
35,"con esta tradición, se busca rendir tributo a los antepasados familiares, a los difuntos cercanos o a personajes importantes.",las flores funcionan como un adorno en todo el altar siendo un símbolo de bienvenida.,0.4053315222263336
