,Oración 1,Oración 2,Similitud
0,el tequila es reconocida como la bebida más representativa de méxico.,el tequila ha logrado ser uno de los principales elementos que identifican la cultura mexicana,0.6940527558326721
1,el tequila es reconocida como la bebida más representativa de méxico.,"aunque el tequila y el mezcal parecen ser diferentes, la realidad es que el tequila es una especie de mezcal.",0.8950100541114807
2,el tequila es reconocida como la bebida más representativa de méxico.,"el destilado de agave que se utiliza para preparar el tequila se realiza solo en zonas específicas de méxico, por esta razón es un producto de origen registrado",0.7499053478240967
3,el tequila es reconocida como la bebida más representativa de méxico.,"en las piñas del agave hay azúcar que es necesario (se debe) extraer de las fibras para fabricar el tequila. dependiendo de las características de este producto, se elige la bebida que se fabricara.",0.7183660268783569
4,el tequila es reconocida como la bebida más representativa de méxico.,posteriormente el tequila es envasado o destinado a la elaboración del tequila añejo.,0.8533555865287781
5,el tequila es reconocida como la bebida más representativa de méxico.,"según la cantidad de glucosa  del agave que se empleó en la fabricación, la bebida puede ser agave en su totalidad o tequila.",0.78936767578125
6,el tequila es reconocida como la bebida más representativa de méxico.,"debido a sus peculiaridades se catalogan en blanco, añejo, de reserva o reposado.",0.6027189493179321
7,el tequila es reconocida como la bebida más representativa de méxico.,para obtener el tequila joven se combina el blanco con un poco de cualquier otro.,0.6213874220848083
8,el tequila es reconocida como la bebida más representativa de méxico.,cada casa tequilera tiene cierta calidad que les es dada por la reserva a la que pertenezcan aunque esto no es  obligatoriamente regulado.,0.6983234882354736
9,el tequila es reconocida como la bebida más representativa de méxico.,"si bien, al principio, el tequila no se pensó como una bebida para combinar actualmente hay un gran número de tragos que se pueden preparar con él.",0.5245931148529053
10,el tequila es reconocida como la bebida más representativa de méxico.,"en méxico existen diez empresas productoras de tequila estimadas como las más relevantes en el mercado por su calidad y trayectoria, entre ellas la más destaca es la josé cuervo.",0.8502824902534485
11,el tequila es reconocida como la bebida más representativa de méxico.,"cuando ciertos productos de consumo son creados solo en regiones específicas se les da denominación de origen, que es una forma que los resguarda legalmente.",0.7119299173355103
12,el tequila es reconocida como la bebida más representativa de méxico.,en otros lugares hay quienes intentan usar la fama que ya tiene esos productos para impulsar los propios.,0.5854704976081848
13,el tequila es reconocida como la bebida más representativa de méxico.,para poder usar la denominación de origen es necesario que los productos mantengan un alto nivel calidad y seguir utilizando técnicas artesanales.,0.7731566429138184
14,el tequila es reconocida como la bebida más representativa de méxico.,"hay otras bebidas que también tienen formas específicas para ser producidas, por ejemplo: con el vino es necesario usar las uvas de la misma zona en la que se produce el vino.",0.8004410862922668
