,Oración 1,Oración 2,Similitud
0,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.","la técnica es básica, no obstante que el empacado al vacío se considere un método de cocina molecular, además, el periodo y el calor es lo fundamental, igual que en la cocina tradicional.",0.537693202495575
1,"sous vide es una forma perfectamente segura de cocinar, pero un pedazo de carne mal preparado será malo no importa cómo se cocine.","los principios elementales de limpieza deben ser respetados, incluyendo lavarse las manos antes de tocar la comida.",0.5805407166481018
2,"la empresa de catering caterers bubble, de londres, incorpora técnicas moleculares en gran parte de su menú.",caterers bubble es un restaurante de londres con un menú que incorpora técnicas moleculares.,0.5809268355369568
3,"aunque sous vide es clasificado como técnica de cocina molecular, el método es muy simple y, como con la tradicional, lo importante es el tiempo y la temperatura.",las reglas básicas de higiene como lavarse las manos se mantienen para este tipo de procesos.,0.5838472247123718
4,"dos décadas después de acuñado, el término gastronomía molecular le disgusta a algunos chefs.","después de veinte años de fraguado, la denominación ‘gastronomía molecular’ no es del agrado de algunos chefs.",0.6053171753883362
5,"dos décadas después de acuñado, el término gastronomía molecular le disgusta a algunos chefs.","“cocina molecular” es un término, acuñado hace más de veinte años, que no gusta entre algunos chefs.",0.6194369792938232
6,el elemento teatral de la cocina molecular también es muy atractivo para algunos.,las nuevas técnicas inusuales en la cocina molecular han sido tendencia.,0.6222376227378845
7,"dos décadas después de acuñado, el término gastronomía molecular le disgusta a algunos chefs.","""gastronomía molecular"" es una expresión poco agradable para algunos chefs, aún después de 20 años de su acuñación.",0.6331056356430054
8,"los principios básicos de higiene deben respetarse, incluido lavarse las manos antes de tocarla.","a pesar de ser seguro, una mala preparación, aún con este método tendrá un mal",0.6339268684387207
9,los sabores más delicados pueden preservarse con un poco de ciencia.,la ciencia ha permitido que los sabores más delicados se conserven.,0.6474304795265198
10,"la técnica, usada en laboratorios de química antes que en las cocinas, hierve líquido a la temperatura mínima usando bajas presiones e impidiendo así que el calor destruya las moléculas del sabor.","para llevar a cabo este procedimiento, es necesario poner el líquido",0.6484491229057312
