,Oración 1,Oración 2,Similitud
0,el tequila es reconocida como la bebida más representativa de méxico.,el tequila representa a todas las bebidas en méxico.,0.5693782567977905
1,"y con ayuda de distribuidoras mundiales de bebidas, la bebida mexicana se volvió internacional.",mediante el mercado internacional se logró que el tequila fuera reconocido mundialmente.,0.5932320356369019
2,el tequila joven resulta de la mezcla del tequila blanco con alguno de los demás.,"si el tequila blanco se combinaba con algún otro, daba como resultado el tequila joven.",0.6071624755859375
3,esta bebida se ha ganado un lugar importante entre los símbolos de identidad nacional.,una parte de la identidad nacional es esta bebida.,0.6166110038757324
4,el tequila joven resulta de la mezcla del tequila blanco con alguno de los demás.,lo que se conoce como tequila joven es una mezcla de varios tequilas y tequila blanco.,0.6361454725265503
5,el tequila joven resulta de la mezcla del tequila blanco con alguno de los demás.,"al combinar el tequila blanco con algún otro, resulta el tequila joven.",0.6527884006500244
6,"entonces, se volvió importante para fines publicitarios y comerciales, así como de retomar conceptos de seguridad tradición.",convirtió en un símbolo representativo del país que ayudo a atraer atención al país y al mercado nacional.,0.6551928520202637
7,esta bebida se ha ganado un lugar importante entre los símbolos de identidad nacional.,es un emblema nacional tequila y ella tiene los primeros lugares.,0.6880683898925781
8,"asimismo, no tiene fines de lucro, es de carácter privado y tiene personalidad jurídica propia. su alcance es nacional e internacional.",los encargados de llevar a cabo este control pertenecen a una empresa privada sin fines de lucro.,0.6911153793334961
9,"y con ayuda de distribuidoras mundiales de bebidas, la bebida mexicana se volvió internacional.",gracias a las distribuidoras mundiales esta bebida mexicana pudo volverse internacional.,0.7361213564872742
10,"y con ayuda de distribuidoras mundiales de bebidas, la bebida mexicana se volvió internacional.",y fue gracias a distribuidoras mundiales que el tequila se volvió internacional.,0.7405553460121155
11,el tequila joven resulta de la mezcla del tequila blanco con alguno de los demás.,para obtener el tequila joven se combina el blanco con un poco de cualquier otro.,0.741325855255127
12,esta bebida se ha ganado un lugar importante entre los símbolos de identidad nacional.,este trago tiene un sitio importante entre las tradiciones de unión nacional.,0.7519251108169556
13,el tequila joven resulta de la mezcla del tequila blanco con alguno de los demás.,"si se mezcla tequila blanco con cualquiera de los demás, el resultado es el tequila joven.",0.7559792399406433
14,"a pesar de que en sus inicios se consideró como una bebida que se tomaba sola, se ha creado toda una cultura alrededor de la preparación de cocteles reconocidos en méxico y otros no tanto.","si bien, al principio, el tequila no se pensó como una bebida para combinar actualmente hay un gran número de tragos que se pueden preparar con él.",0.768003523349762
15,el éxito del tequila jamás habría sido posible sin la participación de grandes empresas extranjeras.,a pesar de que es considerado un producto nacional fue gracias a la intervención de empresarios de otros países lo que ayudo a que esto sucediera.,0.770119309425354
16,"el auge comercial del tequila en tiempos modernos ocurrió a partir de 1992. aunque medio siglo antes, se promovió en la radio y, después, en la televisión.",aunque el tequila fue publicita en distintitos medios de comunicación desde los 80’ fue hasta los 90’ cuando la bebida alcanzo mayor popularidad.,0.7776455879211426
17,ella garantiza la confiabilidad de sus servicios debido a un certificado que se le otorgó el mes de junio de 1999.,dicha reunión está certificada desde junio del último año del siglo pasado y tiene como objetivo proporcionar calidad a lo que ofrece.,0.7881689667701721
18,la denominación de origen es una clasificación que se emplea para proteger legalmente a los productores de ciertos alimentos que se producen en una zona determinada.,"los productores de determinados alimentos, producidas en ciertas zonas, son protegidos legalmente por una clasificación conocida como “denominación de origen”.",0.788271427154541
19,el tequila puede tener varios destinos como el envasado o ser enviado para la obtención de tequila reposado.,"esta bebida tiene diferentes destinos, por ejemplo, el envasado, por otro lado, se puede mandar para que se obtenga el tequila reposado.",0.7892274856567383
20,el tequila es reconocida como la bebida más representativa de méxico.,"en méxico, el tequila se conoce como la bebida más representativa.",0.7929326295852661
21,el tequila es reconocida como la bebida más representativa de méxico.,en méxico se sabe que el tequila es la bebida más ejemplar.,0.7946335077285767
22,esta bebida se ha ganado un lugar importante entre los símbolos de identidad nacional.,esta bebida ocupa un lugar importante entre los símbolos que identifican a la nación.,0.8001946806907654
23,"a pesar de que en sus inicios se consideró como una bebida que se tomaba sola, se ha creado toda una cultura alrededor de la preparación de cocteles reconocidos en méxico y otros no tanto.","desde que se invento el tequila, se consideraba como un trago que se bebía solo, pero con el tiempo se crearon tradicionales cocteles que son reconocidos en el país, pero en otros no.",0.8020796775817871
24,"los productores que se acogen a la denominación de origen, se comprometen a mantener la calidad de su producto en un estándar lo más alto posible y a mantener usos tradicionales.",para poder usar la denominación de origen es necesario que los productos mantengan un alto nivel calidad y seguir utilizando técnicas artesanales.,0.809096097946167
25,la denominación de origen es una clasificación que se emplea para proteger legalmente a los productores de ciertos alimentos que se producen en una zona determinada.,la denominación de origen ha sido clasificado para proteger con legalidad a los productores de determinados alimentos en zonas específicas.,0.8104988932609558
26,"de acuerdo al porcentaje de los azúcares provenientes del agave que se utilice en la elaboración, se puede clasificar como 100% agave o tequila.",la clasificación de 100% agave o de tequila depende de la cantidad de azúcares provenientes de esta planta que sean utilizados en la elaboración.,0.82156902551651
27,el éxito del tequila jamás habría sido posible sin la participación de grandes empresas extranjeras.,las grandes empresas extranjeras tienen gran repercusión en el éxito del tequila.,0.8235670924186707
28,esta bebida se ha ganado un lugar importante entre los símbolos de identidad nacional.,"entre los símbolos de identidad nacional, esta bebida  tiene un lugar fundamental.",0.8318807482719421
29,el tequila es reconocida como la bebida más representativa de méxico.,en méxico la bebida más (distinguida) popular es el tequila.,0.8331188559532166
30,ella garantiza la confiabilidad de sus servicios debido a un certificado que se le otorgó el mes de junio de 1999.,esta organización se encarga de la seguridad de la calidad del producto mediante un certificado validado en el 99.,0.8414320945739746
31,hay varios productores de otras zonas que quisieran aprovechar el buen nombre que han creado los productores originales.,en otros lugares hay quienes intentan usar la fama que ya tiene esos productos para impulsar los propios.,0.8422736525535583
32,"al ser una bebida distinta al mezcal, se cree que no tendría relación en aspectos de elaboración con el tequila, pero es considerado como un tipo específico de mezcal.","se trata de un tipo específico de mezcal, a pesar de la creencia extendida de que su elaboración es distinta.",0.8450276851654053
33,"una tradición particular se encuentra en la producción del vino, que en ciertas zonas se exige utilizar la uva originaria de la misma.","hay otras bebidas que también tienen formas específicas para ser producidas, por ejemplo: con el vino es necesario usar las uvas de la misma zona en la que se produce el vino.",0.8475435376167297
34,el éxito del tequila jamás habría sido posible sin la participación de grandes empresas extranjeras.,las grandes empresas extranjeras fueron una parte fundamental del éxito del tequila.,0.8497953414916992
35,"existen 10 casas tequileras que se consideran las más importantes del país, tanto por su antigüedad e importancia en el mercado y dicha lista está encabezada por tequila josé cuervo.","josé cuervo encabeza la lista de las diez casas tequileras más importantes de méxico, gracias a su tradición y a su importancia en el mercado.",0.8513795733451843
36,esta bebida se ha ganado un lugar importante entre los símbolos de identidad nacional.,esta bebida ha obtenido un lugar notable para ser un símbolo de identidad nacional.,0.8553512096405029
37,"de acuerdo al porcentaje de los azúcares provenientes del agave que se utilice en la elaboración, se puede clasificar como 100% agave o tequila.",la clasificación de 100% agave o tequila depende del nivel de azúcar que tenga el agave.,0.8564796447753906
